norm,acceptance_rate,is_emerged,is_subsumed_by_emerged
Norm{consequent=RING; conditions=Context{; callerRelationship=STRANGER; calleeLocation=HOME}},0.936,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=STRANGER}},0.169,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=COLLEAGUE; calleeLocation=LIBRARY}},0.096,false,false
Norm{consequent=RING; conditions=Context{}},0.866,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=MEETING}},0.098,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=PARTY}},0.057,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true}},0.054,false,false
Norm{consequent=IGNORE; conditions=Context{; calleeLocation=ER}},0.065,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE; calleeLocation=HOME}},0.037,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=FAMILY}},0.081,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false}},0.867,false,false
Norm{consequent=IGNORE; conditions=Context{; calleeLocation=HOME}},0.053,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=true}},0.94,true,false
Norm{consequent=IGNORE; conditions=Context{; calleeLocation=PARTY}},0.115,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false; calleeLocation=LIBRARY}},0.813,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=FRIEND}},0.9,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE}},0.894,false,true
Norm{consequent=RING; conditions=Context{; calleeLocation=PARTY}},0.862,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FAMILY}},0.966,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE; calleeLocation=LIBRARY}},0.186,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FRIEND}},0.116,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE}},0.105,false,false
Norm{consequent=RING; conditions=Context{; calleeLocation=MEETING}},0.835,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=COLLEAGUE; calleeLocation=LIBRARY}},0.869,false,true
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=COLLEAGUE}},0.074,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE; calleeLocation=PARTY}},0.855,false,true
