norm,acceptance_rate,is_emerged,is_subsumed_by_emerged
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=STRANGER; calleeLocation=LIBRARY}},0.001,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=FRIEND}},0.963,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=FAMILY; calleeLocation=LIBRARY}},0.002,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=COLLEAGUE}},0.958,true,true
Norm{consequent=RING; conditions=Context{}},0.927,true,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=COLLEAGUE}},0.017,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=COLLEAGUE; calleeLocation=MEETING}},0.975,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=STRANGER; calleeLocation=MEETING}},0.0,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=MEETING}},0.001,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=FRIEND}},0.017,false,false
Norm{consequent=RING; conditions=Context{; calleeLocation=PARTY}},0.955,true,true
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=STRANGER; calleeLocation=PARTY}},0.009,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=STRANGER; calleeLocation=MEETING}},0.071,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; calleeLocation=HOME}},0.01,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=FAMILY}},0.959,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FAMILY; calleeLocation=ER}},0.0,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=STRANGER}},0.961,true,true
Norm{consequent=RING; conditions=Context{; calleeLocation=MEETING}},0.96,true,true
Norm{consequent=RING; conditions=Context{; calleeLocation=ER}},0.951,true,true
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=STRANGER; calleeLocation=ER}},0.013,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=true}},0.985,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=STRANGER; calleeLocation=ER}},0.976,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=STRANGER; calleeLocation=HOME}},0.0,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false}},0.974,true,true
Norm{consequent=IGNORE; conditions=Context{; calleeLocation=ER}},0.019,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=FAMILY; calleeLocation=MEETING}},0.008,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FAMILY; calleeLocation=LIBRARY}},0.027,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=STRANGER; calleeLocation=LIBRARY}},0.052,false,false
Norm{consequent=RING; conditions=Context{; calleeLocation=HOME}},0.956,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; calleeLocation=PARTY}},0.002,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=FAMILY; calleeLocation=HOME}},0.01,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; calleeLocation=PARTY}},0.009,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=COLLEAGUE; calleeLocation=PARTY}},0.977,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; calleeLocation=PARTY}},0.988,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=STRANGER}},0.988,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE; calleeLocation=MEETING}},0.043,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FAMILY; calleeLocation=LIBRARY}},0.973,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; calleeLocation=MEETING}},0.996,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=COLLEAGUE; calleeLocation=HOME}},0.001,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FAMILY}},0.988,true,true
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=FRIEND; calleeLocation=PARTY}},0.012,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=COLLEAGUE; calleeLocation=PARTY}},0.009,false,false
Norm{consequent=IGNORE; conditions=Context{; calleeLocation=PARTY}},0.014,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=FAMILY}},0.014,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true}},0.007,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false}},0.018,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=STRANGER; calleeLocation=HOME}},1.0,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FRIEND}},0.994,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FAMILY; calleeLocation=MEETING}},0.959,true,true
Norm{consequent=RING; conditions=Context{; calleeLocation=LIBRARY}},0.953,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FRIEND; calleeLocation=MEETING}},0.958,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=FRIEND}},0.003,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=COLLEAGUE; calleeLocation=MEETING}},0.001,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=COLLEAGUE}},0.994,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FAMILY}},0.993,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE}},0.989,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=FRIEND; calleeLocation=PARTY}},0.976,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=STRANGER}},0.998,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=FRIEND; calleeLocation=LIBRARY}},0.979,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=FAMILY; calleeLocation=HOME}},0.98,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; calleeLocation=LIBRARY}},0.994,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FAMILY; calleeLocation=PARTY}},0.003,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=COLLEAGUE}},0.005,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=true; calleeLocation=ER}},0.994,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=HOME}},0.999,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FAMILY; calleeLocation=ER}},0.999,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FAMILY; calleeLocation=PARTY}},0.999,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; calleeLocation=ER}},0.006,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=COLLEAGUE; calleeLocation=MEETING}},0.013,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FAMILY; calleeLocation=MEETING}},0.041,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=FAMILY; calleeLocation=PARTY}},0.976,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=STRANGER; calleeLocation=HOME}},0.98,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; calleeLocation=HOME}},0.003,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FRIEND; calleeLocation=HOME}},0.998,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE; calleeLocation=ER}},0.0,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=STRANGER; calleeLocation=MEETING}},0.015,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false; calleeLocation=ER}},0.992,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=MEETING}},0.999,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FAMILY; calleeLocation=LIBRARY}},0.998,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; calleeLocation=MEETING}},0.942,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=PARTY}},0.999,true,true
Norm{consequent=IGNORE; conditions=Context{; calleeLocation=LIBRARY}},0.017,false,false
Norm{consequent=IGNORE; conditions=Context{}},0.023,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=STRANGER; calleeLocation=LIBRARY}},0.972,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FAMILY; calleeLocation=ER}},0.998,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; calleeLocation=HOME}},0.997,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=COLLEAGUE; calleeLocation=HOME}},0.978,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=FAMILY; calleeLocation=LIBRARY}},0.972,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=STRANGER; calleeLocation=PARTY}},1.0,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FRIEND}},0.006,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=STRANGER}},0.016,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=LIBRARY}},0.999,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; calleeLocation=MEETING}},0.003,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=PARTY}},0.0,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE; calleeLocation=PARTY}},0.003,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=HOME}},0.001,false,false
Norm{consequent=IGNORE; conditions=Context{; calleeLocation=HOME}},0.021,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=FRIEND; calleeLocation=MEETING}},0.98,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FRIEND; calleeLocation=LIBRARY}},0.971,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=COLLEAGUE; calleeLocation=LIBRARY}},0.999,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=ER}},1.0,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=COLLEAGUE; calleeLocation=ER}},0.978,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FRIEND}},0.996,true,true
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=FAMILY; calleeLocation=ER}},0.013,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=COLLEAGUE; calleeLocation=LIBRARY}},0.001,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=STRANGER; calleeLocation=HOME}},0.011,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=FAMILY}},0.002,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FAMILY}},0.01,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE; calleeLocation=HOME}},0.005,false,false
