Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg time to decide,Avg time for feedbacks,Avg time to decide in Window,Avg time for feedbacks in Window,Avg privacy score,Avg privacy score in Window
2,82,0.6284146341463419,-0.06097560975610345,0.6284146341463419,-0.06097560975610345,0.0,0.0,0.008044021230096671,0.0,0.0,0.008044021230096671,0.0,0.0,0.5396341463414634,0.0,0.0,0.5396341463414634,41239.439024390245,28655.51219512195,41239.439024390245,28655.51219512195,0.0,0.0
3,45,0.49222222222222256,0.04444444444444323,0.5801574803149611,-0.023622047244098724,0.0,0.0,0.00836164590411481,0.0,0.0,0.008136940916620587,0.0,0.0,0.39444444444444443,0.0,0.0,0.4881889763779528,35592.91111111111,22719.777777777777,38416.17506775068,25687.644986449865,0.0,0.0
4,52,0.31557692307692314,-0.2692307692307717,0.5032960893854752,-0.09497206703910988,0.0,0.0,0.0044848319212899045,0.0,0.0,0.007085889570552083,0.0,0.0,0.46153846153846156,0.0,0.0,0.48044692737430167,31711.365384615383,21826.53846153846,36181.23850670558,24400.60947814606,0.0,0.0
5,48,0.842083333333334,0.2916666666666576,0.5749339207048463,-0.013215859030841872,0.0,0.0,0.015362979855568459,0.0,0.0,0.008505050505050491,0.0,0.0,0.4895833333333333,0.0,0.0,0.48237885462555063,32499.208333333332,16397.354166666668,35260.73096336252,22399.795650276214,0.0,0.0
6,45,0.41600000000000004,0.022222222222223684,0.5486397058823533,-0.007352941176474409,0.0,0.0,0.005214484679665605,0.0,0.0,0.007881172432004188,0.0,0.0,0.43333333333333335,0.0,0.0,0.4742647058823529,28916.355555555554,23386.4,33991.85588180112,22597.116520220974,0.0,0.0
7,50,0.7650000000000005,0.20000000000000084,0.5822360248447209,0.024844720496891314,0.0,0.0,0.010897435897435916,0.0,0.0,0.008352862552907079,0.0,0.0,0.52,0.0,0.0,0.4813664596273292,20407.2,20651.18,31727.746568167608,22272.79376685081,0.0,0.0
8,59,0.8857627118644074,0.440677966101695,0.6292388451443575,0.08923884514435436,0.0,0.0,0.012903703703704248,0.0,0.0,0.00904849971692778,0.0,0.0,0.5338983050847458,0.0,0.0,0.489501312335958,13755.101694915254,23299.64406779661,29160.225871988696,22419.486666985926,0.0,0.0
9,54,0.41685185185185236,-0.07407407407407661,0.6028735632183914,0.06896551724137673,0.0,0.0,0.006593438781487797,0.0,0.0,0.008768263733324448,0.0,0.0,0.38425925925925924,0.0,0.0,0.4764367816091954,21967.87037037037,22503.944444444445,28261.181434286405,22430.04388916824,0.0,0.0
10,51,0.7156862745098045,0.19607843137254632,0.614711934156379,0.08230452674896861,0.0,0.0,0.014152772392400516,0.0,0.0,0.009195703028810693,0.0,0.0,0.45588235294117646,0.0,0.0,0.4742798353909465,10580.098039215687,16012.549019607843,26296.61661261188,21716.988903661528,0.0,0.0
11,46,0.9632608695652177,0.34782608695653217,0.6448496240601508,0.10526315789473538,0.0,0.0,0.014423828124999956,0.0,0.0,0.009647356580427495,0.0,0.0,0.625,0.0,0.0,0.487312030075188,17461.195652173912,5933.413043478261,25413.074516568086,20138.6313176432,0.0,0.0
