Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window
2,21,0.4219047619047619,-3.0398963769498334E-16,0.4219047619047619,-3.0398963769498334E-16,0.0,0.004362843577959848,0.02352731562597317,0.0,0.004362843577959848,0.02352731562597317,0.0,0.25,0.35294117647058826,0.0,0.25,0.35294117647058826
3,17,0.016470588235294084,-0.23529411764705893,0.24052631578947364,-0.10526315789473706,0.0,0.0444512426250383,-0.012204609118385928,0.0,0.0216316923982398,0.007702378689113036,0.0,0.25,0.10714285714285714,0.0,0.25,0.24193548387096775
4,9,0.6766666666666666,0.3333333333333329,0.32404255319148934,-0.021276595744681097,0.0,0.06797644603458555,0.028327245030391388,0.0,0.02952016110229865,0.010940319447176524,0.0,1.0,0.25,0.0,0.4166666666666667,0.24342105263157895
5,12,0.6891666666666666,0.33333333333333304,0.3983050847457627,0.05084745762711839,0.0,0.04885529752639387,0.01894177348935995,0.0,0.034291973617219584,0.012852313485368949,0.0,0.75,0.375,0.0,0.4772727272727273,0.2708333333333333
6,12,0.39749999999999996,-0.16666666666666607,0.39816901408450706,0.014084507042253409,0.0,0.04755191562313657,0.010036047448229349,0.0,0.03643067394075458,0.01239914852067336,0.0,0.8333333333333334,0.3611111111111111,0.0,0.5535714285714286,0.2850877192982456
7,8,0.91875,0.25,0.4508860759493671,0.037974683544303695,0.0,0.07909560439560444,0.06632851716185056,0.0,0.03911738240768467,0.015844163394439413,0.0,0.5,0.6,0.0,0.5441176470588235,0.31048387096774194
8,13,0.38692307692307687,-0.07692307692307658,0.4418478260869565,0.02173913043478257,0.0,0.05400233487442792,0.009697528338882138,0.0,0.041099876076836066,0.015083798726198397,0.0,0.5,0.25,0.0,0.5375,0.3020833333333333
9,10,0.02599999999999999,4.440892098500626E-16,0.401078431372549,0.019607843137254912,0.0,-0.005709031120753947,0.00337339078073089,0.0,0.03657593830034314,0.013917858918311153,0.0,-0.0625,0.25,0.0,0.4375,0.2980769230769231
10,15,-0.043333333333333356,-0.6000000000000033,0.34410256410256407,-0.05982905982906025,0.0,0.02380516929490937,-0.009380489087955406,0.0,0.034742297480306196,0.010408329752462331,0.0,0.25,0.19642857142857142,0.0,0.43,0.2826086956521739
11,13,-0.04307692307692308,-0.38461538461538464,0.30538461538461537,-0.09230769230769269,0.0,-0.0017060143345027162,-0.0030044258435118145,0.0,0.031903643912174665,0.009374566150431154,0.0,0.0,0.22916666666666666,0.0,0.41346153846153844,0.2764423076923077
