Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg time to decide,Avg time for feedbacks,Avg time to decide in Window,Avg time for feedbacks in Window,Avg privacy score,Avg privacy score in Window
2,77,0.8780519480519486,0.20779220779220373,0.8780519480519486,0.20779220779220373,0.01376144921636432,0.0,0.0,0.01376144921636432,0.0,0.0,0.6233766233766234,0.0,0.0,0.6233766233766234,0.0,0.0,50057.42857142857,33831.36363636364,50057.42857142857,33831.36363636364,0.0,0.0
3,35,0.6491428571428574,0.22857142857142476,0.8065178571428575,0.21428571428571028,0.006660803283494334,0.0,0.0,0.010851753964439824,0.0,0.0,0.4,0.0,0.0,0.5535714285714286,0.0,0.0,20737.257142857143,21536.685714285715,35397.34285714286,27684.024675324676,0.0,0.0
4,45,0.7317777777777785,0.5333333333333294,0.7850955414012744,0.3057324840764291,0.02457462686567211,0.0,0.0,0.012754552980132214,0.0,0.0,0.2777777777777778,0.0,0.0,0.4745222929936306,0.0,0.0,26654.28888888889,7649.933333333333,32482.991534391535,21005.99422799423,0.0,0.0
5,59,0.5930508474576276,0.18644067796610345,0.7326388888888894,0.2731481481481457,0.007330819191284332,0.0,0.0,0.010961418577266596,0.0,0.0,0.4025423728813559,0.0,0.0,0.4548611111111111,0.0,0.0,20732.13559322034,16677.86440677966,29545.277549098737,19923.961772690585,0.0,0.0
6,48,0.40604166666666686,-0.2083333333333375,0.6732575757575763,0.18560606060605786,0.0061521464646464965,0.0,0.0,0.010095995455836292,0.0,0.0,0.4739583333333333,0.0,0.0,0.4583333333333333,0.0,0.0,34106.75,20380.1875,30457.57203927899,20015.206918152468,0.0,0.0
7,53,0.7530188679245288,0.3584905660377526,0.686593059936909,0.21451104100946425,0.011707245526547401,0.0,0.0,0.010357380793756449,0.0,0.0,0.44339622641509435,0.0,0.0,0.4558359621451104,0.0,0.0,18075.33962264151,15294.094339622641,28393.866636506078,19228.35482173083,0.0,0.0
8,54,1.0387037037037041,0.4444444444444424,0.7378436657681946,0.2479784366576821,0.018152103559870948,0.0,0.0,0.011356621307666745,0.0,0.0,0.5462962962962963,0.0,0.0,0.46900269541778977,0.0,0.0,14993.462962962964,14553.296296296296,26479.523254571348,18560.489318097323,0.0,0.0
9,44,0.8479545454545458,0.3181818181818104,0.749518072289157,0.2554216867469873,0.016486964206805465,0.0,0.0,0.01179694314863276,0.0,0.0,0.5170454545454546,0.0,0.0,0.47409638554216865,0.0,0.0,18747.022727272728,12018.477272727272,25512.960688659023,17742.73781242607,0.0,0.0
10,57,0.44596491228070195,0.10526315789473215,0.7128601694915259,0.23728813559321915,0.0069950467804073295,0.0,0.0,0.011215292823572554,0.0,0.0,0.2719298245614035,0.0,0.0,0.4496822033898305,0.0,0.0,10557.771929824561,23879.298245614034,23851.273048788527,18424.577860558067,0.0,0.0
11,57,0.597543859649123,-0.035087719298245196,0.7004347826086961,0.20793950850661527,0.006242668621700893,0.0,0.0,0.010450122683814204,0.0,0.0,0.5526315789473685,0.0,0.0,0.4607750472589792,0.0,0.0,13453.578947368422,7839.245614035088,22811.503638646514,17366.044635905768,0.0,0.0
12,51,0.8103921568627456,0.3137254901960685,0.7101034482758625,0.21724137931034304,0.013671849156466843,0.0,0.0,0.01070322245322244,0.0,0.0,0.5049019607843137,0.0,0.0,0.4646551724137931,0.0,0.0,10688.117647058823,3944.6470588235293,21709.377639411272,16145.917583443746,0.0,0.0
13,45,1.025555555555556,0.5111111111111218,0.7328160000000005,0.23839999999999908,0.01394681172559655,0.0,0.0,0.010960061260140192,0.0,0.0,0.5722222222222222,0.0,0.0,0.4724,0.0,0.0,7599.866666666667,3905.4,20533.58505834922,15125.8744514901,0.0,0.0
14,52,0.9955769230769237,0.42307692307692324,0.752998522895126,0.25258493353027983,0.02090028259991872,0.0,0.0,0.011516287895901983,0.0,0.0,0.5,0.0,0.0,0.474519940915805,0.0,0.0,6931.826923076923,3169.3076923076924,19487.295971020583,14206.138546937607,0.0,0.0
15,52,0.6053846153846159,0.1923076923076852,0.7424691358024695,0.24828532235939516,0.008394666666667057,0.0,0.0,0.011272492502499138,0.0,0.0,0.40865384615384615,0.0,0.0,0.46982167352537724,0.0,0.0,6679.576923076923,4497.288461538462,18572.458896167467,13512.649255123382,0.0,0.0
16,57,0.7615789473684216,0.052631578947359856,0.7438549618320616,0.23409669211195747,0.010962121212121279,0.0,0.0,0.011248845621055851,0.0,0.0,0.6140350877192983,0.0,0.0,0.4802798982188295,0.0,0.0,7439.7192982456145,4926.175438596491,17830.276256306006,12940.217667354922,0.0,0.0
17,50,0.6746000000000002,-4.564577882337773E-15,0.7397129186602875,0.22009569377990235,0.009042895442359165,0.0,0.0,0.011101138117976495,0.0,0.0,0.62,0.0,0.0,0.48863636363636365,0.0,0.0,9322.78,7454.5,17298.557740286884,12597.36031314524,0.0,0.0
18,50,0.7698000000000004,0.41999999999998805,0.7414108352144475,0.2313769751692977,0.01140782454060441,0.0,0.0,0.011118652674339844,0.0,0.0,0.475,0.0,0.0,0.4878668171557562,0.0,0.0,11775.0,5394.38,16973.64257909354,12173.65558884258,0.0,0.0
19,40,0.5617500000000002,0.1749999999999982,0.7336501079913612,0.22894168466522427,0.009296648738105208,0.0,0.0,0.011047042945184288,0.0,0.0,0.39375,0.0,0.0,0.4838012958963283,0.0,0.0,7560.875,5118.125,16450.711046921675,11781.681667240213,0.0,0.0
20,55,0.5076363636363641,0.1090909090909028,0.7209785932721718,0.2222222222222195,0.007447319285143048,0.0,0.0,0.0108402047635104,0.0,0.0,0.4090909090909091,0.0,0.0,0.4796126401630989,0.0,0.0,6007.327272727272,6213.290909090909,15901.059269332496,11488.608469442881,0.0,0.0
21,56,0.34642857142857164,0.017857142857132594,0.7007521697203477,0.2111861137897751,0.004602609727165042,0.0,0.0,0.010461697931213201,0.0,0.0,0.32142857142857145,0.0,0.0,0.4710703953712633,0.0,0.0,8733.910714285714,9583.0,15542.701841580158,11393.328045970737,0.0,0.0
22,69,0.3298550724637683,-7.352411755108193E-15,0.6776130198915014,0.1980108499095807,0.00550689571739672,0.0,0.0,0.010183438867298977,0.0,0.0,0.3333333333333333,0.0,0.0,0.4624773960216998,0.0,0.0,6405.202898550725,5069.347826086957,15107.582844293041,11092.186130738175,0.0,0.0
