Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg time to decide,Avg time for feedbacks,Avg time to decide in Window,Avg time for feedbacks in Window,Avg privacy score,Avg privacy score in Window
2,98,0.6130612244897965,0.15306122448979548,0.6130612244897965,0.15306122448979548,0.008571836210586253,0.0,0.0,0.008571836210586253,0.0,0.0,0.43112244897959184,0.0,0.0,0.43112244897959184,0.0,0.0,21437.418367346938,55961.73469387755,21437.418367346938,55961.73469387755,0.0,0.0
3,42,0.7040476190476195,0.09523809523809383,0.6403571428571434,0.13571428571428498,0.012762192490289466,0.0,0.0,0.009612910143684296,0.0,0.0,0.5595238095238095,0.0,0.0,0.46964285714285714,0.0,0.0,7955.380952380952,27249.333333333332,14696.399659863946,41605.534013605444,0.0,0.0
4,56,0.6276785714285718,0.2321428571428767,0.6367346938775515,0.16326530612245405,0.007456512515909905,0.0,0.0,0.00888888888888882,0.0,0.0,0.40625,0.0,0.0,0.45153061224489793,0.0,0.0,5757.0,116140.28571428571,11716.599773242631,66450.45124716553,0.0,0.0
5,47,0.9463829787234046,0.29787234042552985,0.6966255144032927,0.18930041152263744,0.012511954992967787,0.0,0.0,0.00962091503267971,0.0,0.0,0.6223404255319149,0.0,0.0,0.4845679012345679,0.0,0.0,10285.255319148937,41733.68085106383,11358.763659719207,60271.25864814011,0.0,0.0
6,54,0.7748148148148153,0.2962962962963058,0.7108417508417514,0.2087542087542135,0.012241076653012923,0.0,0.0,0.010047113691524183,0.0,0.0,0.4212962962962963,0.0,0.0,0.4730639730639731,0.0,0.0,5778.222222222223,38665.90740740741,10242.65537221981,55950.18839999357,0.0,0.0
7,49,0.8044897959183678,0.24489795918367216,0.724104046242775,0.21387283236994606,0.012642719692110217,0.0,0.0,0.010382495545149282,0.0,0.0,0.5408163265306123,0.0,0.0,0.48265895953757226,0.0,0.0,5899.040816326531,27488.38775510204,9518.719612904262,51206.55495917832,0.0,0.0
8,55,1.0270909090909097,0.4727272727272929,0.7656608478802998,0.24937655860349736,0.01239903424056171,0.0,0.0,0.01070275734653315,0.0,0.0,0.6409090909090909,0.0,0.0,0.5043640897755611,0.0,0.0,7164.4,33002.41818181818,9182.388239632226,48605.96399098402,0.0,0.0
9,46,0.6934782608695655,0.08695652173913639,0.7582326621923943,0.23266219239374208,0.008663769690385967,0.0,0.0,0.010470820847106724,0.0,0.0,0.5652173913043478,0.0,0.0,0.5106263982102909,0.0,0.0,6515.586956521739,39519.65217391304,8849.038079243415,47470.175013850145,0.0,0.0
10,54,0.8114814814814818,0.22222222222222215,0.763972055888224,0.23153692614771001,0.011471204188481682,0.0,0.0,0.010576418248639023,0.0,0.0,0.5509259259259259,0.0,0.0,0.5149700598802395,0.0,0.0,2570.462962962963,8512.425925925925,8151.418621878921,43141.536226303004,0.0,0.0
11,44,0.478636363636364,-0.24999999999999564,0.7409357798165142,0.1926605504587209,0.005165562913907259,0.0,0.0,0.010028560075497876,0.0,0.0,0.5909090909090909,0.0,0.0,0.5211009174311927,0.0,0.0,3519.6363636363635,9306.65909090909,7688.240396054665,39758.04851276362,0.0,0.0
12,48,0.808541666666667,0.31249999999998834,0.7464080944350763,0.20236087689713717,0.011053830817430823,0.0,0.0,0.010110788770358798,0.0,0.0,0.484375,0.0,0.0,0.5181281618887015,0.0,0.0,3760.4791666666665,9831.875,7331.171193383029,37037.487284330564,0.0,0.0
13,45,0.39044444444444476,-0.17777777777777828,0.7213009404388718,0.17554858934169643,0.0059945411122484926,0.0,0.0,0.009852487796523025,0.0,0.0,0.4666666666666667,0.0,0.0,0.5144984326018809,0.0,0.0,2756.6666666666665,9553.288888888888,6949.962482823333,34747.137418043756,0.0,0.0
14,52,0.6811538461538468,0.2692307692307963,0.7182753623188409,0.1826086956521793,0.009355520338087217,0.0,0.0,0.009815225571354926,0.0,0.0,0.46153846153846156,0.0,0.0,0.5105072463768116,0.0,0.0,3311.326923076923,13133.788461538461,6670.067439765917,33084.57211369719,0.0,0.0
15,55,0.4905454545454547,0.07272727272727289,0.7014630872483225,0.174496644295307,0.005353174603174854,0.0,0.0,0.009410271185219808,0.0,0.0,0.4409090909090909,0.0,0.0,0.5053691275167785,0.0,0.0,2486.7090909090907,12418.0,6371.256129133287,31608.38839129025,0.0,0.0
16,53,0.7545283018867929,0.26415094339623346,0.7049874686716795,0.180451127819554,0.00834341748383068,0.0,0.0,0.009325509307606832,0.0,0.0,0.47641509433962265,0.0,0.0,0.5034461152882206,0.0,0.0,3435.603773584906,18048.528301886792,6175.545972096728,30704.397718663353,0.0,0.0
