Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window
2,73,0.5941095890410965,0.3287671232876842,0.5941095890410965,0.3287671232876842,0.008429543245869997,0.0,0.0,0.008429543245869997,0.0,0.0,0.3527397260273973,0.0,0.0,0.3527397260273973,0.0,0.0
3,49,0.6865306122448983,0.16326530612244436,0.6312295081967217,0.26229508196721907,0.007878220140515117,0.0,0.0,0.008179500796601239,0.0,0.0,0.42346938775510207,0.0,0.0,0.38114754098360654,0.0,0.0
4,50,0.5698000000000004,0.07999999999999598,0.6133720930232562,0.2093023255813984,0.007260448521916906,0.0,0.0,0.007909138616088359,0.0,0.0,0.415,0.0,0.0,0.39098837209302323,0.0,0.0
5,50,0.5112000000000002,0.07999999999999466,0.5903603603603608,0.18018018018018134,0.006480730223124041,0.0,0.0,0.007583174217439324,0.0,0.0,0.39,0.0,0.0,0.39076576576576577,0.0,0.0
6,43,0.710697674418605,0.23255813953489202,0.6098867924528305,0.18867924528302119,0.009215922798552646,0.0,0.0,0.007846011942327511,0.0,0.0,0.47674418604651164,0.0,0.0,0.4047169811320755,0.0,0.0
7,41,0.2634146341463414,-0.09756097560975549,0.563464052287582,0.15032679738562302,0.003302752293577875,0.0,0.0,0.007223595458544726,0.0,0.0,0.29878048780487804,0.0,0.0,0.39052287581699346,0.0,0.0
8,55,0.4318181818181819,0.0363636363636367,0.5434072022160668,0.13296398891966943,0.005509162607283778,0.0,0.0,0.006961320085166942,0.0,0.0,0.38181818181818183,0.0,0.0,0.389196675900277,0.0,0.0
9,54,0.3412962962962967,-0.0740740740740732,0.5171084337349401,0.10602409638554389,0.005354445090064227,0.0,0.0,0.006786414521535813,0.0,0.0,0.3055555555555556,0.0,0.0,0.3783132530120482,0.0,0.0
10,51,0.5392156862745102,0.07843137254901865,0.5195278969957086,0.10300429184549498,0.006890503633174744,0.0,0.0,0.006798079353045401,0.0,0.0,0.3480392156862745,0.0,0.0,0.375,0.0,0.0
11,53,0.6243396226415099,0.3018867924528214,0.5302312138728327,0.12331406551059769,0.00832452830188716,0.0,0.0,0.006951348893604307,0.0,0.0,0.36792452830188677,0.0,0.0,0.37427745664739887,0.0,0.0
12,49,0.8451020408163269,0.2857142857142689,0.5573943661971834,0.13732394366197073,0.017090383821709482,0.0,0.0,0.007536121491990417,0.0,0.0,0.40816326530612246,0.0,0.0,0.3772007042253521,0.0,0.0
13,51,0.6190196078431375,0.19607843137254663,0.5624717285945076,0.14216478190629928,0.008316649104320608,0.0,0.0,0.0076008033706641,0.0,0.0,0.3627450980392157,0.0,0.0,0.3760096930533118,0.0,0.0
14,55,0.3621818181818183,2.0751077623902926E-15,0.5461275964391694,0.1305637982195836,0.004800000000000078,0.0,0.0,0.007368136597474042,0.0,0.0,0.33636363636363636,0.0,0.0,0.3727744807121662,0.0,0.0
15,39,0.2664102564102564,-0.0512820512820543,0.5308274894810662,0.12061711079943793,0.00345412234042546,0.0,0.0,0.0071458510337016985,0.0,0.0,0.28205128205128205,0.0,0.0,0.36781206171107994,0.0,0.0
16,46,0.4234782608695653,0.08695652173913182,0.5243214756258238,0.11857707509881334,0.005481148002251325,0.0,0.0,0.007041171995258439,0.0,0.0,0.30978260869565216,0.0,0.0,0.36429512516469037,0.0,0.0
17,57,0.5335087719298247,0.14035087719298397,0.5249632352941179,0.12009803921568554,0.006461963450913676,0.0,0.0,0.006996651694569399,0.0,0.0,0.38596491228070173,0.0,0.0,0.36580882352941174,0.0,0.0
18,42,0.39238095238095266,-2.8072782194093243E-15,0.5184731934731938,0.11421911421911339,0.004508891928864631,0.0,0.0,0.00685650431565986,0.0,0.0,0.30357142857142855,0.0,0.0,0.36276223776223776,0.0,0.0
19,49,0.5679591836734696,0.20408163265305307,0.5211466372657114,0.11907386990077055,0.008314908873618274,0.0,0.0,0.006928049012854326,0.0,0.0,0.3520408163265306,0.0,0.0,0.36218302094818083,0.0,0.0
20,55,0.2269090909090909,-0.1818181818181828,0.5043243243243246,0.10187110187110066,0.0030960059538574385,0.0,0.0,0.006714273852030383,0.0,0.0,0.29545454545454547,0.0,0.0,0.35836798336798337,0.0,0.0
21,49,0.5114285714285717,1.2597632687583408E-15,0.5046686449060339,0.09693372898120563,0.005263600084016011,0.0,0.0,0.0066245991248914116,0.0,0.0,0.45918367346938777,0.0,0.0,0.3632542037586548,0.0,0.0
22,53,0.2939622641509436,-0.03773584905660045,0.4941729323308273,0.09022556390977356,0.003221004755013625,0.0,0.0,0.006423475371384047,0.0,0.0,0.33962264150943394,0.0,0.0,0.3620770676691729,0.0,0.0
23,52,0.38134615384615395,0.15384615384615585,0.4889157706093193,0.09318996415770534,0.0044194339202141605,0.0,0.0,0.006319331040153962,0.0,0.0,0.35096153846153844,0.0,0.0,0.36155913978494625,0.0,0.0
