Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,105,0.1742857142857143,0.05714285714285667,0.1742857142857143,0.05714285714285667,0.0020078999341672267,0.0,0.0,0.0020078999341672267,0.0,0.0,-0.02857142857142857,0.0,0.0,-0.02857142857142857,0.0,0.0,0.32857142857142857,0.32857142857142857
3,42,0.19238095238095235,-0.14285714285714296,0.17945578231292517,-3.6856383402522205E-16,0.002765229295003418,0.0,0.0,0.002191758059155873,0.0,0.0,0.09523809523809523,0.0,0.0,0.006802721088435374,0.0,0.0,0.35714285714285715,0.34285714285714286
4,53,0.3318867924528308,0.30188679245283623,0.21985000000000013,0.08000000000000133,0.004414052697616223,0.0,0.0,0.0027445228138069247,0.0,0.0,-0.04716981132075472,0.0,0.0,-0.0075,0.0,0.0,0.4056603773584906,0.3637915543575921
5,52,0.45211538461538514,0.1923076923076922,0.26777777777777795,0.10317460317460422,0.006860227604318637,0.0,0.0,0.003469765528589094,0.0,0.0,0.13942307692307693,0.0,0.0,0.022817460317460316,0.0,0.0,0.34615384615384615,0.35938212730665564
6,57,0.7221052631578951,0.2807017543859586,0.3515857605177996,0.13592233009708707,0.008936170212766178,0.0,0.0,0.004516504531470929,0.0,0.0,0.40789473684210525,0.0,0.0,0.09385113268608414,0.0,0.0,0.34210526315789475,0.3559267544769035
7,49,0.20020408163265305,-0.08163265306122489,0.3308659217877097,0.10614525139664771,0.002351953967873409,0.0,0.0,0.004196634189548333,0.0,0.0,0.04591836734693878,0.0,0.0,0.08729050279329609,0.0,0.0,0.25510204081632654,0.339122635533474
8,39,-0.05820512820512824,0.25641025641025617,0.2926448362720405,0.12090680100755635,-6.577803535207247E-4,0.0,0.0,0.0036677610809446167,0.0,0.0,-0.23076923076923078,0.0,0.0,0.05604534005037783,0.0,0.0,0.358974358974359,0.341958596025029
9,40,0.28274999999999995,0.3499999999999988,0.2917391304347828,0.14187643020594926,0.004240719910011241,0.0,0.0,0.0037122557726465845,0.0,0.0,-0.06875,0.0,0.0,0.04462242562929062,0.0,0.0,0.35,0.3429637715219004
10,53,0.44018867924528327,0.09433962264150916,0.30779591836734715,0.1367346938775506,0.005753390875462467,0.0,0.0,0.003927808740038594,0.0,0.0,0.25,0.0,0.0,0.06683673469387755,0.0,0.0,0.36792452830188677,0.34573718894189887
11,44,0.5054545454545459,1.3625464393126921E-16,0.3240823970037455,0.12546816479400713,0.007559483344663763,0.0,0.0,0.004186260280599969,0.0,0.0,0.22727272727272727,0.0,0.0,0.0800561797752809,0.0,0.0,0.3522727272727273,0.34639074277498166
12,49,0.27530612244897956,0.0816326530612251,0.31998284734133814,0.12178387650085734,0.003369972520609548,0.0,0.0,0.00411419623756705,0.0,0.0,0.09693877551020408,0.0,0.0,0.08147512864493997,0.0,0.0,0.40816326530612246,0.35200642664144904
13,27,0.5485185185185186,5.288979131200399E-16,0.3300983606557379,0.11639344262295057,0.010206753962784408,0.0,0.0,0.004303115784074944,0.0,0.0,0.32407407407407407,0.0,0.0,0.09221311475409837,0.0,0.0,0.3333333333333333,0.35045033553243937
14,49,0.8348979591836738,0.08163265306122498,0.3676327769347498,0.11380880121396035,0.011226673984632493,0.0,0.0,0.004803322891470791,0.0,0.0,0.5102040816326531,0.0,0.0,0.1232928679817906,0.0,0.0,0.4387755102040816,0.3572445797379503
15,44,0.5811363636363638,-0.045454545454545116,0.38099573257468017,0.10384068278805104,0.008076437144661934,0.0,0.0,0.004996642041638748,0.0,0.0,0.4772727272727273,0.0,0.0,0.14544807965860598,0.0,0.0,0.375,0.35851282404238244
16,45,0.09577777777777771,-0.04444444444444474,0.36383689839572214,0.09491978609625651,0.0012254762581746803,0.0,0.0,0.004764447401130999,0.0,0.0,0.027777777777777776,0.0,0.0,0.13836898395721925,0.0,0.0,0.3111111111111111,0.3553527098469643
17,58,-0.26896551724137924,-0.1724137931034476,0.31830024813895796,0.07568238213399493,-0.0031941031941032545,0.0,0.0,0.00413756955084273,0.0,0.0,-0.12931034482758622,0.0,0.0,0.11910669975186104,0.0,0.0,0.35344827586206895,0.35523368272290834
18,41,0.6558536585365856,0.048780487804878175,0.3346399055489966,0.0743801652892561,0.007724791726514874,0.0,0.0,0.004328253367131933,0.0,0.0,0.5121951219512195,0.0,0.0,0.1381345926800472,0.0,0.0,0.3902439024390244,0.35729310741209164
19,47,0.15914893617021272,0.1276595744680852,0.32541387024608515,0.07718120805369119,0.001573411863693729,0.0,0.0,0.004141799544419159,0.0,0.0,0.047872340425531915,0.0,0.0,0.13338926174496643,0.0,0.0,0.4574468085106383,0.36285720191756643
20,56,0.503214285714286,0.03571428571428538,0.3358947368421054,0.07473684210526307,0.00813745307536827,0.0,0.0,0.004329538824742576,0.0,0.0,0.29017857142857145,0.0,0.0,0.14263157894736841,0.0,0.0,0.4107142857142857,0.3653759958016043
21,59,-0.014237288135593247,0.10169491525423689,0.3154212091179387,0.07631318136769066,-1.6643550624133454E-4,0.0,0.0,0.004041396825396852,0.0,0.0,-0.09745762711864407,0.0,0.0,0.1285926660059465,0.0,0.0,0.3728813559322034,0.3657512638081343
22,32,0.12624999999999997,0.06249999999999953,0.3096061479346784,0.07588856868395762,0.0012523248605083653,0.0,0.0,0.003931638528349785,0.0,0.0,0.046875,0.0,0.0,0.1260806916426513,0.0,0.0,0.40625,0.367679775055366
23,49,0.5353061224489801,0.12244897959183722,0.31975229357798185,0.0779816513761467,0.0062601431980906196,0.0,0.0,0.0040448668848501925,0.0,0.0,0.30612244897959184,0.0,0.0,0.1341743119266055,0.0,0.0,0.37755102040816324,0.3681284680259477
24,58,0.5777586206896558,0.413793103448287,0.3327874564459932,0.0949477351916381,0.008245570866142062,0.0,0.0,0.004234068491632529,0.0,0.0,0.08189655172413793,0.0,0.0,0.13153310104529617,0.0,0.0,0.3793103448275862,0.3686146365825406
25,54,0.012592592592592556,-0.1851851851851849,0.3184026622296175,0.08236272878535819,1.8952062430323537E-4,0.0,0.0,0.004079387750751487,0.0,0.0,0.06944444444444445,0.0,0.0,0.12874376039933444,0.0,0.0,0.4074074074074074,0.3702310020335767
26,46,0.34956521739130464,0.08695652173913015,0.3195512820512823,0.08253205128205171,0.00498295630616716,0.0,0.0,0.004109433767839708,0.0,0.0,0.08695652173913043,0.0,0.0,0.12720352564102563,0.0,0.0,0.2391304347826087,0.364986979343538
27,57,0.9178947368421058,0.35087719298248027,0.3456858237547895,0.09425287356321986,0.010968553459119696,0.0,0.0,0.004430781319059131,0.0,0.0,0.4868421052631579,0.0,0.0,0.142911877394636,0.0,0.0,0.42105263157894735,0.3671433505833614
28,45,0.7186666666666672,0.17777777777777715,0.3581185185185188,0.09703703703703842,0.010179414542021557,0.0,0.0,0.004604731789088767,0.0,0.0,0.37222222222222223,0.0,0.0,0.15055555555555555,0.0,0.0,0.35555555555555557,0.366714172989739
29,47,0.900425531914894,0.42553191489360953,0.3763636363636367,0.10808876163206982,0.010180418571085096,0.0,0.0,0.0048170849022896095,0.0,0.0,0.4521276595744681,0.0,0.0,0.16070150322118826,0.0,0.0,0.3829787234042553,0.36729504979025746
30,48,0.9183333333333338,0.12499999999999993,0.3943667820069207,0.10865051903114294,0.015787965616046118,0.0,0.0,0.005090717431504179,0.0,0.0,0.4791666666666667,0.0,0.0,0.17128027681660898,0.0,0.0,0.4479166666666667,0.37007510554461637
31,58,0.599137931034483,0.24137931034483545,0.4022687957418499,0.11377245508982169,0.00824632178452758,0.0,0.0,0.005205199948344958,0.0,0.0,0.22413793103448276,0.0,0.0,0.1733200266134398,0.0,0.0,0.41379310344827586,0.371532372141405
