Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg time to decide,Avg time for feedbacks,Avg time to decide in Window,Avg time for feedbacks in Window,Avg privacy score,Avg privacy score in Window
2,93,0.2773118279569896,0.04301075268816959,0.2773118279569896,0.04301075268816959,0.0035131453480450187,0.0,0.0,0.0035131453480450187,0.0,0.0,0.20430107526881722,0.0,0.0,0.20430107526881722,0.0,0.0,183369.2258064516,49387.666666666664,183369.2258064516,49387.666666666664,0.3387096774193548,0.3387096774193548
3,46,-0.0026086956521739336,-0.1521739130434803,0.18467625899280599,-0.021582733812951952,-2.7235587834771134E-5,0.0,0.0,0.002185238784370348,0.0,0.0,0.11956521739130435,0.0,0.0,0.17625899280575538,0.0,0.0,117411.43478260869,41020.760869565216,150390.33029453014,45204.21376811594,0.30434782608695654,0.32152875175315565
4,65,0.5680000000000003,0.21538461538461204,0.3068137254901963,0.05392156862744834,0.006202956989247306,0.0,0.0,0.0035363579863268236,0.0,0.0,0.3076923076923077,0.0,0.0,0.2181372549019608,0.0,0.0,100471.43076923076,36747.153846153844,133750.69711943035,42385.19379412857,0.36923076923076925,0.3374294242456935
5,42,0.1583333333333333,0.09523809523809773,0.2814634146341465,0.0609756097560958,0.00207423580786031,0.0,0.0,0.0033121262855775463,0.0,0.0,0.07738095238095238,0.0,0.0,0.19410569105691056,0.0,0.0,54401.02380952381,19405.714285714286,113913.27879195371,36640.323917025,0.35714285714285715,0.34235778246998444
6,52,0.5061538461538463,0.21153846153846845,0.3206711409395975,0.08724832214765076,0.006697201017811712,0.0,0.0,0.0038477954499697457,0.0,0.0,0.22596153846153846,0.0,0.0,0.19966442953020133,0.0,0.0,48602.92307692308,20022.365384615383,100851.20764894757,33316.73221054308,0.28846153846153844,0.33157853366829526
7,58,0.09327586206896549,-0.08620689655172332,0.2836235955056181,0.05898876404494374,0.0013772912423624987,0.0,0.0,0.003510412682960697,0.0,0.0,0.15517241379310345,0.0,0.0,0.19241573033707865,0.0,0.0,54150.94827586207,4026.1724137931033,93067.83108676666,28434.97224441808,0.33620689655172414,0.3323499274822001
8,50,0.13299999999999998,-0.040000000000000514,0.26507389162561584,0.04679802955665011,0.0018843865117596772,0.0,0.0,0.00333271398488785,0.0,0.0,0.115,0.0,0.0,0.1828817733990148,0.0,0.0,41145.0,6318.54,85650.28378865714,25275.481923786927,0.3,0.3277285092704572
9,42,0.39452380952380955,-0.04761904761904344,0.2772098214285715,0.03794642857142884,0.005855123674911713,0.0,0.0,0.003535960366721673,0.0,0.0,0.2261904761904762,0.0,0.0,0.18694196428571427,0.0,0.0,51689.71428571428,4298.190476190476,81405.21260078928,22653.32049283737,0.3333333333333333,0.3284291122783167
10,45,0.2866666666666666,-0.044444444444450545,0.2780730223123733,0.030425963488843504,0.00353327855382093,0.0,0.0,0.0035357078379284245,0.0,0.0,0.18888888888888888,0.0,0.0,0.18711967545638944,0.0,0.0,38499.044444444444,5743.8,76637.86058341764,20774.484882522105,0.32222222222222224,0.3277394578276396
11,65,0.37984615384615417,0.06153846153845795,0.2899283154121865,0.03405017921146884,0.0053931847968545134,0.0,0.0,0.0037318631634794762,0.0,0.0,0.25769230769230766,0.0,0.0,0.1953405017921147,0.0,0.0,39298.78461538462,4306.215384615384,72903.95298661434,19127.657932731432,0.2923076923076923,0.3241962812756448
12,52,0.06711538461538459,-0.07692307692307748,0.2709344262295083,0.02459016393442555,9.98283752860408E-4,0.0,0.0,0.0035278673127414513,0.0,0.0,0.02403846153846154,0.0,0.0,0.1807377049180328,0.0,0.0,35738.403846153844,5787.634615384615,69525.26670111793,17914.92854024536,0.38461538461538464,0.329688927033803
13,55,0.5969090909090914,0.3818181818181793,0.2978947368421054,0.05413533834586383,0.009759215219976173,0.0,0.0,0.0039453506203819605,0.0,0.0,0.22272727272727272,0.0,0.0,0.18421052631578946,0.0,0.0,44680.472727272725,5683.2,67454.8672032975,16895.617828558246,0.36363636363636365,0.3325178800840164
14,51,0.3921568627450982,-0.15686274509804302,0.30460893854748616,0.03910614525139561,0.00598444045481737,0.0,0.0,0.004072600974735277,0.0,0.0,0.3382352941176471,0.0,0.0,0.19518156424581007,0.0,0.0,42518.56862745098,7342.588235294118,65536.69038977084,16160.769398307162,0.22549019607843138,0.32428498131435596
15,38,0.6331578947368421,0.2631578947368454,0.3211671087533158,0.05039787798408406,0.00862674793832924,0.0,0.0,0.004298036988392292,0.0,0.0,0.3157894736842105,0.0,0.0,0.20125994694960211,0.0,0.0,30399.342105263157,5922.315789473684,63026.879798020294,15429.451283390485,0.32894736842105265,0.3246180089648343
16,49,0.28897959183673483,0.08163265306122736,0.31920298879203,0.05230386052303801,0.0038551592703512934,0.0,0.0,0.004270932266933247,0.0,0.0,0.18877551020408162,0.0,0.0,0.20049813200498132,0.0,0.0,25177.591836734693,7821.6122448979595,60503.593933934586,14922.26201415765,0.41836734693877553,0.3308679648297637
17,38,0.49500000000000005,0.499999999999994,0.32714625445897755,0.07253269916765671,0.00675403949730687,0.0,0.0,0.0043810509554139876,0.0,0.0,0.1118421052631579,0.0,0.0,0.1964922711058264,0.0,0.0,28549.552631578947,9978.973684210527,58506.46635253736,14613.306493535954,0.3026315789473684,0.32910319071211397
18,55,0.17272727272727267,-0.21818181818182011,0.31766741071428584,0.0546874999999991,0.0025503355704697777,0.0,0.0,0.0042785419015407495,0.0,0.0,0.25,0.0,0.0,0.19977678571428573,0.0,0.0,26739.6,6842.254545454545,56637.82715532928,14156.185790707636,0.2818181818181818,0.3263217196007062
19,50,-0.11840000000000003,-0.16000000000001094,0.29461945031712483,0.043340380549681444,-0.001623697202413702,0.0,0.0,0.003971868720696555,0.0,0.0,-0.08,0.0,0.0,0.1849894291754757,0.0,0.0,28415.26,8934.58,55069.90675781099,13866.096580112768,0.28,0.32374829073400035
20,58,0.12206896551724135,2.9382626599993366E-15,0.28465139442231085,0.040836653386453,0.0015810629745421937,0.0,0.0,0.003828450481587133,0.0,0.0,0.07758620689655173,0.0,0.0,0.17878486055776893,0.0,0.0,25467.137931034482,8485.862068965518,53511.8662932438,13582.926342683964,0.3706896551724138,0.32621888886233785
21,50,0.4908000000000001,0.2000000000000045,0.2944307400379508,0.04838709677419264,0.0044545289526228505,0.0,0.0,0.0038714788293120737,0.0,0.0,0.19,0.0,0.0,0.1793168880455408,0.0,0.0,28050.54,202787.66,52238.799978581614,23043.163025549766,0.26,0.322907944419221
22,39,0.4164102564102568,0.10256410256410262,0.29878316559926815,0.050320219579139104,0.0066069975589910955,0.0,0.0,0.003952866272876892,0.0,0.0,0.15384615384615385,0.0,0.0,0.17840805123513268,0.0,0.0,24788.20512820513,7447.641025641025,50931.628795230354,22300.519120792203,0.4358974358974359,0.32828839639437407
23,54,0.836481481481482,0.44444444444444037,0.32409764603313,0.06887532693984204,0.012582172701949878,0.0,0.0,0.00431222884717998,0.0,0.0,0.375,0.0,0.0,0.18766346992153443,0.0,0.0,25604.962962962964,7005.259259259259,49780.416711945465,21605.28003617707,0.3888888888888889,0.3310429642350339
24,48,0.513125,0.3750000000000018,0.33169037656903777,0.0811715481171539,0.00595502901353966,0.0,0.0,0.0043874388435057605,0.0,0.0,0.11979166666666667,0.0,0.0,0.18493723849372384,0.0,0.0,23297.916666666668,8971.666666666666,48629.00366649857,21055.99249837227,0.3645833333333333,0.3325012411523512
25,50,0.4482000000000001,-9.348077867343818E-16,0.3363694779116467,0.07791164658634447,0.008081500180310184,0.0,0.0,0.004497449390538555,0.0,0.0,0.33,0.0,0.0,0.19076305220883535,0.0,0.0,20020.02,5892.64,47436.96268039446,20424.186144273426,0.34,0.3328136894376699
26,54,0.43092592592592666,0.18518518518518676,0.34030023094688233,0.08237105465742799,0.00891912610195463,0.0,0.0,0.004617964146922373,0.0,0.0,0.23148148148148148,0.0,0.0,0.1924557351809084,0.0,0.0,23101.333333333332,5046.518518518518,46463.53750651201,19809.079439243233,0.3425925925925926,0.3332048455638668
27,53,0.6269811320754719,0.05660377358490454,0.3515384615384617,0.08136094674556131,0.007484234234234181,0.0,0.0,0.0047450181702008406,0.0,0.0,0.4056603773584906,0.0,0.0,0.20081360946745563,0.0,0.0,21853.264150943396,8887.698113207547,45516.98853129784,19389.026311318783,0.42452830188679247,0.3367172861916717
28,53,0.6996226415094344,0.2641509433962312,0.36466903914590765,0.08825622775800651,0.00996774193548385,0.0,0.0,0.004932039582611345,0.0,0.0,0.4056603773584906,0.0,0.0,0.2085409252669039,0.0,0.0,21155.735849056604,7276.509433962264,44614.719913437046,18940.414575120394,0.41509433962264153,0.33962014002244834
29,54,0.5350000000000003,0.09259259259258983,0.37097326936257724,0.08841672378341262,0.0064100288440202425,0.0,0.0,0.004993495769943963,0.0,0.0,0.37037037037037035,0.0,0.0,0.2145305003427005,0.0,0.0,20009.166666666668,9601.648148148148,43735.950154623824,18606.88720272853,0.3425925925925926,0.33972629904281065
30,49,0.6748979591836739,0.12244897959183475,0.38084880636604795,0.08952254641909743,0.008167448752778134,0.0,0.0,0.005107790821771566,0.0,0.0,0.45918367346938777,0.0,0.0,0.22248010610079574,0.0,0.0,21457.244897959183,8328.959183673469,42967.71893887677,18252.47589172663,0.3673469387755102,0.34067873489566236
