norm,acceptance_rate,is_emerged,is_subsumed_by_emerged
Norm{consequent=RING; conditions=Context{; callUrgency=false; calleeLocation=MEETING}},0.997,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=COLLEAGUE; calleeLocation=HOME}},0.981,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; calleeLocation=HOME}},0.993,true,true
Norm{consequent=IGNORE; conditions=Context{; calleeLocation=HOME}},0.011,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=HOME}},1.0,true,true
Norm{consequent=RING; conditions=Context{}},0.934,true,false
Norm{consequent=RING; conditions=Context{; callUrgency=false}},0.991,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=STRANGER; calleeLocation=MEETING}},0.984,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=STRANGER; calleeLocation=LIBRARY}},0.0,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=COLLEAGUE}},0.003,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=FAMILY; calleeLocation=PARTY}},0.017,false,false
Norm{consequent=IGNORE; conditions=Context{; calleeLocation=LIBRARY}},0.015,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=STRANGER; calleeLocation=MEETING}},0.0,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE}},0.0,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FRIEND}},0.001,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true}},0.006,false,false
Norm{consequent=RING; conditions=Context{; calleeLocation=PARTY}},0.951,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=COLLEAGUE; calleeLocation=PARTY}},0.98,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=STRANGER; calleeLocation=LIBRARY}},0.984,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE}},0.999,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=STRANGER}},0.997,true,true
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=STRANGER; calleeLocation=MEETING}},0.006,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=FRIEND; calleeLocation=LIBRARY}},0.982,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FRIEND}},0.997,true,true
