Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,102,0.646960784313726,0.2352941176470621,0.646960784313726,0.2352941176470621,0.007955394816154725,0.0,0.0,0.007955394816154725,0.0,0.0,0.39215686274509803,0.0,0.0,0.39215686274509803,0.0,0.0,0.0,0.0
3,43,0.8309302325581399,0.18604651162791172,0.7015172413793108,0.2206896551724175,0.012884962134871595,0.0,0.0,0.009190458980845896,0.0,0.0,0.5465116279069767,0.0,0.0,0.4379310344827586,0.0,0.0,0.0,0.0
4,53,0.7652830188679248,0.07547169811322653,0.718585858585859,0.18181818181818965,0.008146214099216086,0.0,0.0,0.0088664547890571,0.0,0.0,0.6415094339622641,0.0,0.0,0.49242424242424243,0.0,0.0,0.0,0.0
5,59,0.6879661016949158,0.20338983050848178,0.7115564202334635,0.1867704280155719,0.009123398516520526,0.0,0.0,0.008922228727556552,0.0,0.0,0.4915254237288136,0.0,0.0,0.49221789883268485,0.0,0.0,0.0,0.0
6,55,0.8061818181818188,0.1818181818181945,0.7282371794871799,0.18589743589744445,0.011021625652498184,0.0,0.0,0.009266691137485187,0.0,0.0,0.5045454545454545,0.0,0.0,0.49439102564102566,0.0,0.0,0.0,0.0
7,51,1.0876470588235296,0.4509803921568686,0.7787327823691464,0.2231404958677768,0.011692664418212434,0.0,0.0,0.009659980179749141,0.0,0.0,0.6421568627450981,0.0,0.0,0.5151515151515151,0.0,0.0,0.0,0.0
8,54,0.5531481481481483,-0.05555555555555444,0.749520383693046,0.18705035971223746,0.0053549659376119375,0.0,0.0,0.008970752848655277,0.0,0.0,0.5648148148148148,0.0,0.0,0.5215827338129496,0.0,0.0,0.0,0.0
9,46,0.7223913043478265,0.08695652173914094,0.7468250539956808,0.17710583153348491,0.009315951780207127,0.0,0.0,0.009002811914184474,0.0,0.0,0.5652173913043478,0.0,0.0,0.5259179265658748,0.0,0.0,0.0,0.0
10,39,0.8728205128205132,0.10256410256410461,0.7566135458167335,0.17131474103586375,0.00980979827089301,0.0,0.0,0.00906967859019046,0.0,0.0,0.6410256410256411,0.0,0.0,0.5348605577689243,0.0,0.0,0.0,0.0
11,45,0.8462222222222227,0.31111111111112727,0.7639853747714813,0.18281535648995306,0.012185599999999816,0.0,0.0,0.009286047596826778,0.0,0.0,0.5222222222222223,0.0,0.0,0.5338208409506399,0.0,0.0,0.0,0.0
12,46,0.7821739130434786,0.08695652173913782,0.7653962900505907,0.17537942664418998,0.00957424161788187,0.0,0.0,0.009308258649330317,0.0,0.0,0.592391304347826,0.0,0.0,0.5383642495784149,0.0,0.0,0.0,0.0
13,31,0.8238709677419357,0.32258064516129475,0.7683012820512826,0.1826923076923154,0.011315906070004681,0.0,0.0,0.009397075541965505,0.0,0.0,0.45161290322580644,0.0,0.0,0.5340544871794872,0.0,0.0,0.0,0.0
14,58,0.4881034482758622,3.55005177553564E-15,0.7444721407624638,0.1671554252199487,0.00524745134383673,0.0,0.0,0.009000230443337445,0.0,0.0,0.521551724137931,0.0,0.0,0.532991202346041,0.0,0.0,0.0,0.0
15,57,0.5029824561403513,0.07017543859649537,0.7258457374830857,0.15967523680650236,0.006795449158568347,0.0,0.0,0.008846813563794617,0.0,0.0,0.36403508771929827,0.0,0.0,0.5199594046008119,0.0,0.0,0.0,0.0
16,42,0.7516666666666671,0.2857142857142986,0.7272343149807943,0.16645326504482177,0.010131578947368013,0.0,0.0,0.008909612850599139,0.0,0.0,0.4880952380952381,0.0,0.0,0.5182458386683739,0.0,0.0,0.0,0.0
17,48,0.6802083333333337,0.3333333333333564,0.7245114595898677,0.17611580217129905,0.008220040281973366,0.0,0.0,0.008869167158889428,0.0,0.0,0.4114583333333333,0.0,0.0,0.5120627261761158,0.0,0.0,0.0,0.0
18,54,0.8161111111111116,0.07407407407407512,0.7301132502831261,0.16987542468856962,0.009611777535441606,0.0,0.0,0.008916257520226704,0.0,0.0,0.6111111111111112,0.0,0.0,0.5181200453001132,0.0,0.0,0.0,0.0
19,56,0.6264285714285718,0.0357142857142872,0.7239297124600643,0.16187433439830357,0.00826578699340243,0.0,0.0,0.008880194385295586,0.0,0.0,0.5178571428571429,0.0,0.0,0.5181043663471778,0.0,0.0,0.0,0.0
20,36,0.5844444444444449,0.2777777777777799,0.7187794871794876,0.16615384615385348,0.0064381884944919605,0.0,0.0,0.008780209729756712,0.0,0.0,0.3472222222222222,0.0,0.0,0.5117948717948718,0.0,0.0,0.0,0.0
21,50,0.9810000000000002,0.36000000000000254,0.7315707317073175,0.17560975609756807,0.010733041575491967,0.0,0.0,0.00888596584782004,0.0,0.0,0.6,0.0,0.0,0.5160975609756098,0.0,0.0,0.0,0.0
22,43,0.5555813953488374,0.23255813953488805,0.7244850187265921,0.17790262172285345,0.007154836777478375,0.0,0.0,0.00882007614618232,0.0,0.0,0.3372093023255814,0.0,0.0,0.5088951310861424,0.0,0.0,0.0,0.0
23,45,0.7971111111111113,0.2222222222222408,0.7274213836477991,0.1796945193171683,0.007585113131740011,0.0,0.0,0.008756908766426787,0.0,0.0,0.5333333333333333,0.0,0.0,0.5098831985624438,0.0,0.0,0.0,0.0
24,50,0.5964000000000004,0.0400000000000012,0.7217884780739471,0.17368873602752224,0.009345032905045169,0.0,0.0,0.008776530121489531,0.0,0.0,0.455,0.0,0.0,0.5075236457437661,0.0,0.0,0.0,0.0
25,50,0.9932000000000005,0.40000000000000285,0.7329760923330588,0.18301731244848185,0.013120211360634449,0.0,0.0,0.008941879293178075,0.0,0.0,0.555,0.0,0.0,0.5094806265457543,0.0,0.0,0.0,0.0
26,56,0.6355357142857149,0.07142857142857124,0.7286761229314423,0.1780929866036316,0.007767350501963885,0.0,0.0,0.008890138732658301,0.0,0.0,0.5089285714285714,0.0,0.0,0.5094562647754137,0.0,0.0,0.0,0.0
27,39,0.8389743589743589,0.051282051282055735,0.7319648318042816,0.1743119266055112,0.010568475452196139,0.0,0.0,0.008938651280471175,0.0,0.0,0.6666666666666666,0.0,0.0,0.5141437308868502,0.0,0.0,0.0,0.0
28,48,1.0081250000000004,0.5416666666666468,0.7417404129793513,0.18731563421829475,0.01111391823610495,0.0,0.0,0.00902362218852882,0.0,0.0,0.625,0.0,0.0,0.5180678466076696,0.0,0.0,0.0,0.0
29,46,0.6028260869565221,0.08695652173913505,0.7371825962910131,0.18402282453638225,0.007789325842696648,0.0,0.0,0.008985420307242795,0.0,0.0,0.532608695652174,0.0,0.0,0.5185449358059915,0.0,0.0,0.0,0.0
30,48,0.476875,0.08333333333334048,0.7285655172413796,0.18068965517241947,0.005531657805703186,0.0,0.0,0.008865484512550145,0.0,0.0,0.375,0.0,0.0,0.5137931034482759,0.0,0.0,0.0,0.0
31,60,0.6915000000000006,0.03333333333334636,0.7270927152317884,0.1748344370860987,0.007645107794362149,0.0,0.0,0.008812325424599409,0.0,0.0,0.6041666666666666,0.0,0.0,0.5173841059602649,0.0,0.0,0.0,0.0
32,49,0.8142857142857148,0.28571428571429225,0.7298332264271973,0.17831943553560575,0.010091047040971234,0.0,0.0,0.008851659379813536,0.0,0.0,0.5306122448979592,0.0,0.0,0.5177998717126363,0.0,0.0,0.0,0.0
33,38,0.4268421052631581,-0.10526315789473445,0.722623669380088,0.17157169693175298,0.005292006525285633,0.0,0.0,0.008768758500687594,0.0,0.0,0.4473684210526316,0.0,0.0,0.5161239824671259,0.0,0.0,0.0,0.0
