Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,89,0.334044943820225,-0.044943820224718725,0.334044943820225,-0.044943820224718725,0.0,0.0,0.0044221329763498496,0.0,0.0,0.0044221329763498496,0.0,0.0,0.25,0.0,0.0,0.25,0.34269662921348315,0.34269662921348315
3,58,0.4410344827586211,0.08620689655172552,0.37625850340136086,0.006802721088436144,0.0,0.0,0.005895367596220355,0.0,0.0,0.005000000000000014,0.0,0.0,0.3275862068965517,0.0,0.0,0.28061224489795916,0.3103448275862069,0.32652072839984503
4,52,0.4675000000000003,0.07692307692307544,0.4001005025125631,0.0251256281407037,0.0,0.0,0.004945077298616731,0.0,0.0,0.004983101764926775,0.0,0.0,0.35096153846153844,0.0,0.0,0.2989949748743719,0.36538461538461536,0.3394753573947685
5,58,0.3893103448275864,0.20689655172413646,0.39766536964980576,0.0661478599221788,0.0,0.0,0.004194686977521848,0.0,0.0,0.004784420205046585,0.0,0.0,0.15517241379310345,0.0,0.0,0.26653696498054474,0.35344827586206895,0.3429685870115936
6,55,0.24818181818181834,-0.0727272727272719,0.3713141025641028,0.04166666666666666,0.0,0.0,0.002424942263279477,0.0,0.0,0.004292330492775112,0.0,0.0,0.21363636363636362,0.0,0.0,0.25721153846153844,0.4,0.3543748696092749
7,48,0.9945833333333338,0.2916666666666668,0.4544166666666669,0.07500000000000001,0.0,0.0,0.011911177644710788,0.0,0.0,0.005277437254016424,0.0,0.0,0.5104166666666666,0.0,0.0,0.29097222222222224,0.3854166666666667,0.35954850245217346
8,53,0.16943396226415092,-0.15094339622641484,0.4178450363196128,0.04600484261501215,0.0,0.0,0.001904963937208315,0.0,0.0,0.004832269265233006,0.0,0.0,0.23113207547169812,0.0,0.0,0.28329297820823246,0.33962264150943394,0.356701950888925
9,52,0.3567307692307692,-0.11538461538461434,0.41101075268817217,0.02795698924731198,0.0,0.0,0.0036522937586139018,0.0,0.0,0.0046853472579736,0.0,0.0,0.3173076923076923,0.0,0.0,0.2870967741935484,0.3076923076923077,0.3505757454893478
10,36,0.2513888888888889,0.05555555555555609,0.3995409181636728,0.029940119760479222,0.0,0.0,0.0031866197183098733,0.0,0.0,0.0045877930828998,0.0,0.0,0.16666666666666666,0.0,0.0,0.27844311377245506,0.3333333333333333,0.3486599219164573
11,60,0.22216666666666665,-0.10000000000000074,0.3805704099821748,0.016042780748663183,0.0,0.0,0.0020870518240175425,0.0,0.0,0.004268463353192874,0.0,0.0,0.24583333333333332,0.0,0.0,0.2749554367201426,0.35,0.3487939297248116
