Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window
2,20,0.24299999999999997,-0.14999999999999875,0.24299999999999997,-0.14999999999999875,0.01558890083718467,-0.003035452412649546,0.016341171204696314,0.01558890083718467,-0.003035452412649546,0.016341171204696314
3,14,0.775,0.1428571428571431,0.46205882352941174,-0.029411764705881516,0.013107465197258472,0.03538690476190478,0.04841646394126331,0.014610816716337849,0.012117026473090186,0.029103523596358535
4,10,0.392,-0.19999999999999965,0.4461363636363636,-0.06818181818181746,0.03195093278814212,-0.008135873518252783,0.01648373553356944,0.019075074241599113,0.0066884141042766075,0.025697154067842197
5,12,0.7516666666666666,0.4166666666666666,0.5116071428571428,0.03571428571428627,0.028325307045895295,0.08567791447682754,0.07571302655677654,0.020198316796406508,0.015060573129938689,0.031190888345802952
6,15,0.4673333333333333,0.06666666666666689,0.5022535211267605,0.04225352112676105,0.02653641624824636,0.017140082632715326,0.008682076636663701,0.02176580375761421,0.015542724890759465,0.026122414787184717
7,8,1.16875,0.5000000000000004,0.569746835443038,0.08860759493670935,0.05220139860139863,0.045709090909090914,0.06608205128205134,0.024496566753386063,0.018218773489159838,0.029964687527075737
8,7,0.3814285714285714,-0.28571428571428575,0.5544186046511628,0.05813953488372137,0.0011792110589223632,0.03437599306658962,-0.006920729351773152,0.021598552545645574,0.020306504108715373,0.02549687646851094
9,13,0.4569230769230769,0.15384615384615372,0.5416161616161616,0.07070707070707107,0.03651443654384829,0.018334165834165844,0.02844257430333379,0.022919229774653105,0.02013918492347081,0.02579181959772641
10,7,0.7757142857142857,0.8571428571428571,0.5570754716981132,0.1226415094339626,0.009969230769230761,0.23139102564102562,0.25037692307692305,0.02267114550251858,0.02334807364323114,0.02860264692537593
11,9,0.15777777777777777,6.137066163900171E-16,0.5258260869565218,0.11304347826086993,-0.0027424321882897475,0.021948316794418058,-0.005785987739112739,0.019895601181338148,0.02318801176141619,0.024914033598235248
12,17,0.08411764705882352,-0.058823529411764025,0.46893939393939393,0.09090909090909131,-0.009494339435463945,0.0064535673969636385,0.011266203637195825,0.015417673874245832,0.020656349864224984,0.022746286170213008
13,11,0.4027272727272727,-0.09090909090909073,0.46384615384615385,0.0769230769230773,0.04737251330905018,-0.012881155996584251,0.019927387013701874,0.01778575572521794,0.018229098778094043,0.022553751902080022
14,9,0.7322222222222222,0.3333333333333328,0.4797368421052632,0.09210526315789506,0.021341591783452265,0.04551047631667788,0.014553556333776111,0.018006134174388243,0.020049355434292798,0.02196330762250528
15,16,0.13124999999999998,0.12500000000000042,0.446547619047619,0.09523809523809558,0.02809581703011373,0.025519750842506777,-0.03293908873130777,0.018807396575421183,0.020492453321256383,0.017579310301715733
16,15,0.20666666666666664,-0.06666666666666668,0.4268852459016393,0.08196721311475441,0.02148168675639606,0.018928835611730657,-0.011886913635460128,0.01901997322571869,0.020375291490080435,0.015306433524192524
17,10,0.893,0.4000000000000009,0.4510362694300517,0.09844559585492262,0.023871792366320446,0.03184330173113039,0.04564728608734224,0.019296013806007276,0.02106940789940714,0.01702160842542321
18,19,0.6284210526315789,0.2631578947368429,0.46693396226415085,0.11320754716981168,0.030208653749351427,0.01967542562642234,0.021598228556911674,0.020381357742506247,0.020930670327214344,0.017474447302602104
19,11,-0.13545454545454547,-0.363636363636364,0.43721973094170397,0.08968609865470885,-9.747141892572727E-4,0.00781483429043206,-0.028223550388334444,0.01950489467478647,0.020401264779396525,0.015675313535242395
20,11,0.7663636363636364,0.09090909090909123,0.4526923076923076,0.08974358974359008,-0.0026954706773737146,0.0714586617701236,0.04050729171161065,0.018629699816372604,0.02254256084055447,0.016706074893506735
21,12,0.5924999999999999,0.4166666666666674,0.45951219512195113,0.10569105691056946,0.032759349558815834,0.09946106182832821,-0.00285279642837783,0.019092593819750175,0.0247006765379351,0.016132921155136492
22,15,0.5619999999999999,0.26666666666666666,0.4654022988505746,0.11494252873563252,0.009587359692656854,0.03613458166510492,0.01396709652387341,0.018450026665439913,0.025531416822088822,0.01599695962850497
23,9,0.33444444444444443,-9.868649107779169E-17,0.46103703703703697,0.11111111111111142,-0.010814306966908271,0.018327375082182792,0.022195265641681387,0.01709441999765683,0.025181477382130755,0.01627843700831682
24,8,0.62625,0.24999999999999986,0.46579136690647477,0.11510791366906506,0.013675213675213675,0.07683760683760688,0.038772893772893745,0.017022487185824223,0.026035689904132197,0.01671221441149048
