Step,Fixed,NSIGA,XSIGA
500,0.6711129246149142,0.8729797512591223,0.8694263045468418
1000,0.6993179024989757,0.9487254397695708,1.024255306461288
1500,0.6675968912976784,0.9795239085239078,1.4472713841694531
2000,0.6646879756468802,1.0593843492418835,1.614417909140469
2500,0.6835412413229893,1.0873201420598675,1.7425749527439192
3000,0.6857763289869605,1.107095160302226,1.826737188695612
3500,0.6780140258156319,1.1308712199135968,1.8341068858413565
4000,0.6821166174824462,1.141616344605474,1.8579547581182208
4500,0.6678675009932461,1.1567909765267754,1.879976970455268
5000,0.6468758815232719,1.1453858520900309,1.892488423729849
5500,0.6721091385918906,1.1641716184912871,1.8974454920364996
6000,0.6874652919559007,1.1762687779131134,1.916385807967418
6500,0.6688293552540361,1.1868183656957916,1.9108269674889875
7000,0.6557247333671917,1.1761099878689836,1.9152298941713355
7500,0.6993796174476269,1.2042414671421289,1.90492881247319
8000,0.6893632358830597,1.1903204134366916,1.9200638909486447
8500,0.6806570018507093,1.1999093501731497,1.924579044889823
9000,0.6774721796835126,1.193637651821861,1.931245603400396
9500,0.6952776101388062,1.1809323821963216,1.919050416762996
10000,0.6777686114700332,1.1954913992556069,1.9453671168335305
