Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window
2,34,0.7094117647058827,0.29411764705882454,0.7094117647058827,0.29411764705882454,0.03173684210526321,0.0,0.0,0.03173684210526321,0.0,0.0
3,14,0.36357142857142855,-3.2067602541628406E-16,0.6085416666666669,0.20833333333333393,0.015377643504531732,0.0,0.0,0.026773602199816723,0.0,0.0
4,16,1.3456250000000005,0.7499999999999997,0.7928125000000004,0.34375000000000033,0.08003717472118962,0.0,0.0,0.037308823529411804,0.0,0.0
5,7,0.9657142857142856,0.5714285714285717,0.8098591549295777,0.36619718309859184,0.05540983606557376,0.0,0.0,0.03879892037786778,0.0,0.0
6,12,0.5566666666666666,0.2500000000000005,0.7732530120481931,0.34939759036144613,0.01881690140845081,0.0,0.0,0.03493739793140996,0.0,0.0
7,11,-0.006363636363636349,-0.0909090909090911,0.682021276595745,0.2978723404255322,-2.641509433962295E-4,0.0,0.0,0.030499524262607082,0.0,0.0
8,9,-0.026666666666666665,-0.4444444444444441,0.620097087378641,0.23300970873786436,-0.0017518248175182603,0.0,0.0,0.028526127735596284,0.0,0.0
9,12,0.8966666666666666,0.3333333333333335,0.6489565217391307,0.24347826086956548,0.03470967741935488,0.0,0.0,0.02927814829344845,0.0,0.0
10,13,0.3346153846153846,-0.07692307692307745,0.6170312500000001,0.21093750000000017,0.012428571428571423,0.0,0.0,0.02724387719903418,0.0,0.0
11,11,0.6754545454545454,0.1818181818181822,0.621654676258993,0.20863309352518003,0.034082568807339494,0.0,0.0,0.027722168752005165,0.0,0.0
12,14,0.5607142857142857,0.2857142857142861,0.6160784313725491,0.2156862745098041,0.029291044776119324,0.0,0.0,0.02784638109305763,0.0,0.0
13,16,0.7825,0.3124999999999999,0.6318343195266273,0.22485207100591734,0.03122194513715714,0.0,0.0,0.028203909138932934,0.0,0.0
14,17,0.45705882352941174,-0.17647058823529405,0.6158602150537635,0.18817204301075285,0.01753950338600453,0.0,0.0,0.027086781745093425,0.0,0.0
15,5,1.536,1.2000000000000004,0.6399476439790577,0.2146596858638745,0.21942857142857117,0.0,0.0,0.028665572232645424,0.0,0.0
16,18,0.4683333333333333,0.055555555555556,0.6251674641148327,0.20095693779904322,0.016337209302325646,0.0,0.0,0.027334728033472828,0.0,0.0
17,16,0.25687499999999996,0.06250000000000044,0.5989777777777779,0.1911111111111113,0.013475409836065592,0.0,0.0,0.02650344149459196,0.0,0.0
18,9,0.2422222222222222,6.221874867170148E-16,0.5852564102564104,0.18376068376068397,0.008014705882352957,0.0,0.0,0.02556468172484602,0.0,0.0
19,15,0.27799999999999997,-0.3333333333333316,0.5667469879518073,0.1526104417670686,0.011270270270270357,0.0,0.0,0.02464117338920904,0.0,0.0
20,15,1.106,0.6666666666666621,0.5973863636363638,0.18181818181818185,0.035909090909090766,0.0,0.0,0.025482307319437725,0.0,0.0
21,10,1.143,0.8999999999999977,0.6172992700729929,0.2080291970802919,0.06494318181818169,0.0,0.0,0.026573448546739997,0.0,0.0
22,19,0.4436842105263158,4.674623261579606E-17,0.6060409556313995,0.19453924914675763,0.015216606498194974,0.0,0.0,0.025664113311172146,0.0,0.0
23,13,0.5523076923076923,0.0769230769230777,0.6037581699346407,0.18954248366013068,0.023311688311688436,0.0,0.0,0.025563857755638592,0.0,0.0
24,17,0.9423529411764707,0.2352941176470607,0.6215789473684212,0.1919504643962849,0.0382338902147972,0.0,0.0,0.026258174208736614,0.0,0.0
25,9,-0.036666666666666674,-0.11111111111110988,0.6037349397590364,0.18373493975903626,-0.0010280373831775358,0.0,0.0,0.025158779967365402,0.0,0.0
26,18,0.6305555555555555,0.2777777777777785,0.6051142857142858,0.18857142857142872,0.025736961451247105,0.0,0.0,0.025189105613701253,0.0,0.0
27,2,1.25,0.5,0.6087784090909092,0.19034090909090925,0.20833333333333334,0.0,0.0,0.02545011876484562,0.0,0.0
28,14,0.8942857142857142,0.28571428571428636,0.6196994535519127,0.19398907103825155,0.04519855595667884,0.0,0.0,0.026079107738300585,0.0,0.0
29,18,0.15888888888888886,-0.055555555555554026,0.5980989583333335,0.18229166666666693,0.006924939467312361,0.0,0.0,0.025210757409440197,0.0,0.0
30,14,0.5785714285714285,-0.21428571428571436,0.5974120603015077,0.16834170854271382,0.023410404624277455,0.0,0.0,0.025144881556683606,0.0,0.0
31,12,0.035833333333333314,-0.4166666666666658,0.5809756097560977,0.15121951219512222,0.0012391930835735144,0.0,0.0,0.02429868407630319,0.0,0.0
32,12,0.4666666666666666,-2.2146636376637238E-16,0.5777251184834125,0.14691943127962112,0.021455938697318027,0.0,0.0,0.024224960254372038,0.0,0.0
33,17,0.5111764705882352,-0.05882352941176484,0.5751480637813213,0.13895216400911187,0.02400552486187846,0.0,0.0,0.02421734126222906,0.0,0.0
34,18,0.5244444444444444,0.22222222222222326,0.5731509846827135,0.1422319474835889,0.02497354497354477,0.0,0.0,0.024243798593113673,0.0,0.0
35,11,0.0918181818181818,-0.36363636363636354,0.561837606837607,0.13034188034188063,0.00408906882591093,0.0,0.0,0.023793321871323873,0.0,0.0
36,17,0.8841176470588235,0.4117647058823544,0.5731340206185568,0.14020618556701064,0.0538709677419353,0.0,0.0,0.02453398058252428,0.0,0.0
37,15,1.2233333333333334,0.4000000000000018,0.5926400000000001,0.14800000000000038,0.04553349875930477,0.0,0.0,0.025255262933606065,0.0,0.0
38,16,0.433125,-8.773363979752702E-16,0.5876937984496126,0.14341085271317863,0.015967741935483837,0.0,0.0,0.024923974685625048,0.0,0.0
39,9,0.5844444444444444,0.5555555555555554,0.5876380952380953,0.1504761904761908,0.03226993865030675,0.0,0.0,0.025021086780210863,0.0,0.0
40,7,0.6557142857142857,-2.244236542635138E-15,0.5885338345864662,0.14849624060150404,0.020220264317180756,0.0,0.0,0.024934299593852034,0.0,0.0
41,5,0.984,-3.7331249203020887E-16,0.5922160148975792,0.14711359404096863,0.02733333333333348,0.0,0.0,0.024968202873518097,0.0,0.0
42,16,0.4175,0.062499999999999986,0.5871609403254974,0.1446654611211576,0.015462962962963043,0.0,0.0,0.02465639000683423,0.0,0.0
43,12,-0.04750000000000002,-0.49999999999999784,0.5736814159292036,0.13097345132743396,-0.0015240641711229729,0.0,0.0,0.023933397327032414,0.0,0.0
44,16,0.49124999999999996,0.2500000000000001,0.5714113597246129,0.13425129087779722,0.03247933884297526,0.0,0.0,0.02408342401160682,0.0,0.0
