Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg time to decide,Avg time for feedbacks,Avg time to decide in Window,Avg time for feedbacks in Window
2,85,0.4103529411764712,-8.150343145483502E-16,0.4103529411764712,-8.150343145483502E-16,0.004564250196283587,0.0,0.0,0.004564250196283587,0.0,0.0,0.3323529411764706,0.0,0.0,0.3323529411764706,0.0,0.0,3585.0941176470587,25291.882352941175,3585.0941176470587,25291.882352941175
3,58,0.40793103448275875,0.1034482758620683,0.4093706293706298,0.0419580419580412,0.00500740740740739,0.0,0.0,0.0047335651330152086,0.0,0.0,0.36637931034482757,0.0,0.0,0.34615384615384615,0.0,0.0,2886.6206896551726,22682.05172413793,3235.8574036511154,23986.96703853955
4,61,0.5821311475409842,0.1639344262295034,0.46102941176470635,0.07843137254901765,0.0069206782303646,0.0,0.0,0.005374899988570114,0.0,0.0,0.3975409836065574,0.0,0.0,0.36151960784313725,0.0,0.0,3484.72131147541,22308.885245901638,3318.812039592547,23427.60644099358
5,56,0.32125000000000004,0.035714285714282576,0.43092307692307735,0.06923076923076701,0.003968674167218162,0.0,0.0,0.005085561254595788,0.0,0.0,0.36160714285714285,0.0,0.0,0.36153846153846153,0.0,0.0,3058.464285714286,20902.73214285714,3253.725101122982,22796.38786645947
6,52,0.4355769230769232,-0.19230769230769532,0.4316987179487183,0.025641025641023295,0.005941762854144746,0.0,0.0,0.0052118562086444905,0.0,0.0,0.3701923076923077,0.0,0.0,0.3629807692307692,0.0,0.0,2592.480769230769,20284.55769230769,3121.4762347445394,22294.021831629114
7,53,0.614716981132076,0.30188679245282535,0.45827397260274016,0.06575342465753153,0.00592040705069972,0.0,0.0,0.005336247049065276,0.0,0.0,0.3584905660377358,0.0,0.0,0.36232876712328765,0.0,0.0,2143.943396226415,24396.830188679247,2958.554094991519,22644.489891137473
8,47,0.6753191489361707,0.29787234042552563,0.48303398058252467,0.09223300970873476,0.007946920380570767,0.0,0.0,0.0056312959818902025,0.0,0.0,0.40425531914893614,0.0,0.0,0.36711165048543687,0.0,0.0,2444.978723404255,7525.489361702128,2885.186184764767,20484.632672646705
9,44,0.5275000000000002,0.13636363636363025,0.48732456140350916,0.09649122807017205,0.005530140576602265,0.0,0.0,0.0056205579583680975,0.0,0.0,0.375,0.0,0.0,0.3678728070175439,0.0,0.0,1566.5,6884.204545454545,2720.350411669171,18784.579156747688
10,47,0.46595744680851076,0.17021276595744153,0.48532803180914547,0.10337972166997654,0.0045379196021549505,0.0,0.0,0.005502783851407688,0.0,0.0,0.30851063829787234,0.0,0.0,0.36232604373757454,0.0,0.0,730.9574468085107,8258.702127659575,2499.306748906876,17615.037264626786
11,57,0.3607017543859652,-0.07017543859649515,0.4726428571428575,0.0857142857142821,0.0030204201557220136,0.0,0.0,0.005172562048075025,0.0,0.0,0.43859649122807015,0.0,0.0,0.37008928571428573,0.0,0.0,737.2456140350877,8143.035087719299,2323.100635419697,16667.837046936038
