Step,Fixed,NSIGA,XSIGA
500,0.6694267323745348,0.5464885574172459,0.5192958185978783
1000,0.6687820577290559,0.6462112894873122,0.6044578653388807
1500,0.638356474339196,0.689912179822269,0.7713023510290317
2000,0.6676518383099742,0.7429943913585377,0.9880191977228996
2500,0.6784962709131226,0.795268906688859,1.1667253818281245
3000,0.6919683441558443,0.8660033340279228,1.3118098007045362
3500,0.665015912124012,0.8591759762222001,1.4215275191517465
4000,0.6800557657837085,0.8667615546218492,1.4810851682345698
4500,0.700895613322502,0.9047754210854648,1.5830672770945462
5000,0.6747516656571773,0.9031415656461884,1.6274838098947777
5500,0.6829278728606362,0.912629222629223,1.71679640733286
6000,0.648566472808897,0.896105219808503,1.791452044718902
6500,0.6904494155582426,0.9358242098739932,1.8431474079632184
7000,0.6970253745032104,0.932213584288052,1.8504968666928612
7500,0.6700286035345797,0.955219603364136,1.8910904912936228
8000,0.7044832270874705,0.940173210161663,1.8874937203589135
8500,0.6567630522088354,0.948731111571103,1.9284261250662105
9000,0.6911367330353515,0.940872810200062,1.902268157435253
9500,0.6869034406215316,0.9547978187056274,1.9210426746737683
10000,0.6831076614922387,0.974211769538872,1.935551682396713
