Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,105,0.2196190476190481,-0.09523809523809267,0.2196190476190481,-0.09523809523809267,0.0,0.0,0.0026100735710243737,0.0,0.0,0.0026100735710243737,0.0,0.0,0.24047619047619048,0.0,0.0,0.24047619047619048,0.0,0.0
3,49,0.06285714285714282,-0.16326530612244997,0.16974025974026008,-0.11688311688311545,0.0,0.0,8.342361863488154E-4,0.0,0.0,0.0020866927436736784,0.0,0.0,0.10204081632653061,0.0,0.0,0.19642857142857142,0.0,0.0
4,51,0.6713725490196083,0.3137254901960826,0.29453658536585403,-0.009756097560973495,0.0,0.0,0.006926967428687099,0.0,0.0,0.003456210646823154,0.0,0.0,0.28431372549019607,0.0,0.0,0.21829268292682927,0.0,0.0
5,54,0.07425925925925922,0.09259259259259822,0.24861003861003889,0.011583011583014429,0.0,0.0,0.0011379114642452435,0.0,0.0,0.0030670667809850785,0.0,0.0,-0.0787037037037037,0.0,0.0,0.15637065637065636,0.0,0.0
6,47,0.04914893617021274,-0.3191489361702187,0.21797385620915058,-0.03921568627450831,0.0,0.0,4.915939561608622E-4,0.0,0.0,0.002596037831315947,0.0,0.0,0.10106382978723404,0.0,0.0,0.14787581699346405,0.0,0.0
7,52,-0.0882692307692308,-0.057692307692307855,0.17349162011173205,-0.04189944134078087,0.0,0.0,-9.469775118630041E-4,0.0,0.0,0.0020337262606418024,0.0,0.0,-0.08653846153846154,0.0,0.0,0.1138268156424581,0.0,0.0
8,53,0.535849056603774,0.15094339622642086,0.22021897810219,-0.01703163017031447,0.0,0.0,0.005284704131001103,0.0,0.0,0.002520187113660427,0.0,0.0,0.3018867924528302,0.0,0.0,0.1380778588807786,0.0,0.0
9,38,0.37842105263157894,9.27985758412014E-16,0.23360801781737212,-0.015590200445432542,0.0,0.0,0.003764397905759228,0.0,0.0,0.0026398047012634223,0.0,0.0,0.2631578947368421,0.0,0.0,0.14866369710467706,0.0,0.0
10,53,0.297358490566038,0.15094339622641426,0.2403386454183269,0.001992031872511443,0.0,0.0,0.004717150553726409,0.0,0.0,0.002800928612884521,0.0,0.0,0.11320754716981132,0.0,0.0,0.1449203187250996,0.0,0.0
11,53,-0.05679245283018871,-0.1320754716981145,0.21196396396396414,-0.010810810810809595,0.0,0.0,-6.103000811030213E-4,0.0,0.0,0.00245047597225406,0.0,0.0,0.04245283018867924,0.0,0.0,0.13513513513513514,0.0,0.0
