norm,acceptance_rate,is_emerged,is_subsumed_by_emerged
Norm{consequent=RING; conditions=Context{; callUrgency=false; calleeLocation=PARTY}},0.987,true,true
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=STRANGER; calleeLocation=PARTY}},0.008,false,false
Norm{consequent=IGNORE; conditions=Context{}},0.025,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=STRANGER}},0.997,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true}},0.981,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false}},0.978,true,true
Norm{consequent=RING; conditions=Context{; calleeLocation=HOME}},0.962,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=COLLEAGUE}},0.953,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=ER}},0.999,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; calleeLocation=ER}},0.993,true,true
Norm{consequent=RING; conditions=Context{}},0.931,true,false
Norm{consequent=RING; conditions=Context{; calleeLocation=ER}},0.957,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=COLLEAGUE}},0.995,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FAMILY}},0.993,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=FRIEND; calleeLocation=ER}},0.979,true,true
Norm{consequent=RING; conditions=Context{; calleeLocation=LIBRARY}},0.96,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FRIEND; calleeLocation=PARTY}},0.997,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=FRIEND}},0.991,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=STRANGER}},0.969,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=STRANGER; calleeLocation=ER}},0.983,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=FRIEND}},0.964,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=FAMILY}},0.955,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FRIEND; calleeLocation=MEETING}},0.038,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=FAMILY; calleeLocation=MEETING}},0.001,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=true; calleeLocation=PARTY}},0.99,true,true
Norm{consequent=RING; conditions=Context{; callerRelationship=FRIEND; calleeLocation=HOME}},0.982,true,true
Norm{consequent=RING; conditions=Context{; callUrgency=true; callerRelationship=FRIEND; calleeLocation=LIBRARY}},1.0,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=FRIEND}},0.002,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FRIEND; calleeLocation=PARTY}},0.003,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false; callerRelationship=STRANGER; calleeLocation=PARTY}},0.991,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=STRANGER; calleeLocation=LIBRARY}},0.002,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=COLLEAGUE; calleeLocation=MEETING}},0.974,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; calleeLocation=PARTY}},0.011,false,false
Norm{consequent=RING; conditions=Context{; callerRelationship=FAMILY; calleeLocation=HOME}},0.98,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=COLLEAGUE; calleeLocation=HOME}},0.0,false,false
Norm{consequent=RING; conditions=Context{; callUrgency=false; calleeLocation=HOME}},0.992,true,true
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=COLLEAGUE; calleeLocation=PARTY}},0.002,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; callerRelationship=STRANGER; calleeLocation=PARTY}},0.0,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; calleeLocation=PARTY}},0.008,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; calleeLocation=HOME}},0.008,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=FRIEND; calleeLocation=LIBRARY}},0.031,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=false; callerRelationship=STRANGER; calleeLocation=LIBRARY}},0.045,false,false
Norm{consequent=IGNORE; conditions=Context{; callerRelationship=FAMILY}},0.02,false,false
Norm{consequent=IGNORE; conditions=Context{; callUrgency=true; calleeLocation=ER}},0.007,false,false
