Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window
2,100,0.4906000000000004,0.17000000000001536,0.4906000000000004,0.17000000000001536,0.0,0.0064273549063283576,0.0,0.0,0.0064273549063283576,0.0,0.0,0.3375,0.0,0.0,0.3375,0.0
3,45,0.49777777777777793,0.1777777777777713,0.49282758620689693,0.17241379310345686,0.0,0.00628683693516728,0.0,0.0,0.006382636655949033,0.0,0.0,0.4,0.0,0.0,0.3568965517241379,0.0
4,56,0.6844642857142861,0.19642857142856868,0.5462189054726372,0.1791044776119457,0.0,0.0122460063897768,0.0,0.0,0.007663688398716093,0.0,0.0,0.42410714285714285,0.0,0.0,0.3756218905472637,0.0
5,50,0.42500000000000016,0.03999999999999961,0.5220717131474106,0.15139442231076122,0.0,0.005669690501600884,0.0,0.0,0.007250193648335004,0.0,0.0,0.33,0.0,0.0,0.3665338645418327,0.0
6,49,0.5489795918367353,0.26530612244896923,0.5264666666666671,0.17000000000000184,0.0,0.007287997832566518,0.0,0.0,0.007256604640478286,0.0,0.0,0.3469387755102041,0.0,0.0,0.36333333333333334,0.0
7,54,0.64962962962963,0.18518518518518162,0.5452542372881359,0.17231638418079198,0.0,0.008483675937122213,0.0,0.0,0.007452509652510048,0.0,0.0,0.42592592592592593,0.0,0.0,0.3728813559322034,0.0
8,46,0.4813043478260871,0.13043478260869182,0.5379000000000004,0.16750000000000045,0.0,0.005474777448071302,0.0,0.0,0.007185412770505296,0.0,0.0,0.4076086956521739,0.0,0.0,0.376875,0.0
9,45,0.6108888888888893,0.06666666666666064,0.5452808988764049,0.15730337078651666,0.0,0.008827874116891853,0.0,0.0,0.007340129469417745,0.0,0.0,0.4388888888888889,0.0,0.0,0.3831460674157303,0.0
10,45,0.7240000000000006,0.22222222222221838,0.5616938775510208,0.16326530612244847,0.0,0.010889037433155795,0.0,0.0,0.0076346740638006646,0.0,0.0,0.4222222222222222,0.0,0.0,0.386734693877551,0.0
11,57,0.6315789473684216,0.14035087719297756,0.5689762340036567,0.16087751371115075,0.0,0.009018036072144948,0.0,0.0,0.007772588781779545,0.0,0.0,0.4166666666666667,0.0,0.0,0.389853747714808,0.0
12,66,0.6077272727272732,0.318181818181808,0.5731484502446986,0.17781402936378268,0.0,0.009273988439306617,0.0,0.0,0.007918948768229036,0.0,0.0,0.29545454545454547,0.0,0.0,0.3796900489396411,0.0
