Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window
2,107,0.3247663551401874,-0.03738317757009313,0.3247663551401874,-0.03738317757009313,0.004455128205128138,0.0,0.0,0.004455128205128138,0.0,0.0,0.3014018691588785,0.0,0.0,0.3014018691588785,0.0,0.0
3,41,0.44634146341463427,0.09756097560975294,0.35844594594594636,-6.391283898517793E-16,0.005005470459518554,0.0,0.0,0.004630761173184297,0.0,0.0,0.3719512195121951,0.0,0.0,0.32094594594594594,0.0,0.0
4,46,0.5989130434782611,0.13043478260869834,0.4154639175257736,0.03092783505154654,0.008950617283950574,0.0,0.0,0.005545617173524093,0.0,0.0,0.41304347826086957,0.0,0.0,0.3427835051546392,0.0,0.0
5,48,0.28062499999999996,-0.041666666666665506,0.38871900826446315,0.016528925619835058,0.00454453441295533,0.0,0.0,0.005376042976340083,0.0,0.0,0.24479166666666666,0.0,0.0,0.32334710743801653,0.0,0.0
6,44,0.8177272727272732,0.40909090909091117,0.45472027972028006,0.07692307692307754,0.010912951167727931,0.0,0.0,0.006253907189228073,0.0,0.0,0.4715909090909091,0.0,0.0,0.34615384615384615,0.0,0.0
7,37,0.5445945945945947,0.16216216216215823,0.4650154798761613,0.08668730650154809,0.01328279499011232,0.0,0.0,0.006731803513804149,0.0,0.0,0.27702702702702703,0.0,0.0,0.3382352941176471,0.0,0.0
8,54,0.4057407407407408,-0.03703703703703856,0.4565251989389923,0.06896551724137918,0.0051968690702086364,0.0,0.0,0.0064878618817852006,0.0,0.0,0.3611111111111111,0.0,0.0,0.34151193633952254,0.0,0.0
9,55,0.8012727272727278,0.3272727272726985,0.500416666666667,0.10185185185184807,0.00868545526212061,0.0,0.0,0.006840706284412308,0.0,0.0,0.43636363636363634,0.0,0.0,0.35358796296296297,0.0,0.0
10,30,0.43466666666666665,2.627527824946204E-15,0.4961471861471864,0.09523809523809187,0.007346478873239404,0.0,0.0,0.0068676034394941935,0.0,0.0,0.35,0.0,0.0,0.35335497835497837,0.0,0.0
11,51,0.2433333333333333,0.03921568627451105,0.4710136452241718,0.08966861598440255,0.003034971875764178,0.0,0.0,0.006449314044733823,0.0,0.0,0.22549019607843138,0.0,0.0,0.3406432748538012,0.0,0.0
