Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg time to decide,Avg time for feedbacks,Avg time to decide in Window,Avg time for feedbacks in Window
2,93,0.3286021505376346,-0.06451612903225634,0.3286021505376346,-0.06451612903225634,0.005116356939561462,0.0,0.0,0.005116356939561462,0.0,0.0,0.28763440860215056,0.0,0.0,0.28763440860215056,0.0,0.0,3487.7419354838707,17472.09677419355,3487.7419354838707,17472.09677419355
3,41,0.9302439024390249,0.41463414634146833,0.5126865671641795,0.08208955223880868,0.010028924533263322,0.0,0.0,0.007027414075286521,0.0,0.0,0.5304878048780488,0.0,0.0,0.3619402985074627,0.0,0.0,3398.0975609756097,19610.70731707317,3442.9197482297404,18541.40204563336
4,47,0.7863829787234046,0.34042553191491076,0.5837569060773483,0.1491712707182385,0.009043308049914526,0.0,0.0,0.007621726898939746,0.0,0.0,0.48404255319148937,0.0,0.0,0.393646408839779,0.0,0.0,4149.63829787234,20857.08510638298,3678.4925981106076,19313.296399216564
5,49,0.9332653061224494,0.4081632653061313,0.6582173913043481,0.2043478260869635,0.010180320569902186,0.0,0.0,0.008247888858621755,0.0,0.0,0.5,0.0,0.0,0.41630434782608694,0.0,0.0,3308.6530612244896,20013.183673469386,3586.032713889078,19488.26821777977
6,47,0.5068085106382981,0.08510638297871383,0.6325270758122747,0.18411552346570814,0.007231329690346265,0.0,0.0,0.008093214467181066,0.0,0.0,0.34574468085106386,0.0,0.0,0.4043321299638989,0.0,0.0,2702.872340425532,16455.744680851065,3409.400639196369,18881.763510394027
7,52,0.7867307692307696,0.34615384615385136,0.6568996960486326,0.2097264437690013,0.010297004782280496,0.0,0.0,0.008434938724533733,0.0,0.0,0.4230769230769231,0.0,0.0,0.4072948328267477,0.0,0.0,1681.5192307692307,15331.846153846154,3121.4204044585126,18290.110617636048
8,52,0.7015384615384619,0.3076923076923172,0.6629921259842523,0.22309711286089742,0.006914329037149477,0.0,0.0,0.008175286426306038,0.0,0.0,0.39903846153846156,0.0,0.0,0.4061679790026247,0.0,0.0,1644.5961538461538,14883.923076923076,2910.4455115138894,17803.512397534196
9,51,0.6684313725490202,0.15686274509803144,0.6636342592592597,0.2152777777777813,0.010200478755236553,0.0,0.0,0.008372955607476766,0.0,0.0,0.43137254901960786,0.0,0.0,0.40914351851851855,0.0,0.0,1609.1568627450981,3968.9803921568628,2747.7844304177906,16074.19589686203
10,39,0.7087179487179491,0.41025641025641946,0.6673673036093422,0.2314225053078596,0.008347931138629095,0.0,0.0,0.008370749114537708,0.0,0.0,0.4551282051282051,0.0,0.0,0.4129511677282378,0.0,0.0,1767.7179487179487,3585.8205128205127,2638.8881546733637,14686.598631968527
11,42,0.5447619047619049,0.095238095238096,0.6573294346978561,0.2202729044834345,0.007110006215040458,0.0,0.0,0.008271235497559558,0.0,0.0,0.4523809523809524,0.0,0.0,0.4161793372319688,0.0,0.0,1376.2857142857142,3581.0476190476193,2512.6279106345987,13576.043530676438
