Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,97,0.7910309278350521,0.19587628865980172,0.7910309278350521,0.19587628865980172,0.0,0.0,0.012450105468116195,0.0,0.0,0.012450105468116195,0.0,0.0,0.6056701030927835,0.0,0.0,0.6056701030927835,0.0,0.0
3,50,0.3492000000000002,-0.11999999999999643,0.6407482993197283,0.08843537414966629,0.0,0.0,0.003641293013556046,0.0,0.0,0.008595546632597312,0.0,0.0,0.435,0.0,0.0,0.5476190476190477,0.0,0.0
4,44,0.39522727272727276,-0.04545454545454415,0.5841884816753931,0.05759162303665446,0.0,0.0,0.005414072229140642,0.0,0.0,0.007874382498235787,0.0,0.0,0.32954545454545453,0.0,0.0,0.4973821989528796,0.0,0.0
5,48,0.9029166666666671,0.3750000000000054,0.6482008368200841,0.12133891213389648,0.0,0.0,0.015578720345075485,0.0,0.0,0.009138744690891995,0.0,0.0,0.5364583333333334,0.0,0.0,0.5052301255230126,0.0,0.0
6,42,0.6859523809523812,0.19047619047619152,0.6538434163701071,0.13167259786477334,0.0,0.0,0.011320235756385395,0.0,0.0,0.00942350105144391,0.0,0.0,0.49404761904761907,0.0,0.0,0.50355871886121,0.0,0.0
7,61,0.7298360655737711,0.21311475409834593,0.6673976608187139,0.14619883040935794,0.0,0.0,0.010976331360946615,0.0,0.0,0.00969090986286254,0.0,0.0,0.48770491803278687,0.0,0.0,0.5007309941520468,0.0,0.0
8,49,0.5591836734693879,0.16326530612245338,0.6538363171355502,0.14833759590793,0.0,0.0,0.007630186577554908,0.0,0.0,0.009418287651046311,0.0,0.0,0.3979591836734694,0.0,0.0,0.48785166240409206,0.0,0.0
9,48,1.1022916666666671,0.43749999999997996,0.7028701594533033,0.17995444191343885,0.0,0.0,0.01562149394744633,0.0,0.0,0.01010644918279787,0.0,0.0,0.6666666666666666,0.0,0.0,0.5074031890660592,0.0,0.0
10,43,0.7495348837209305,0.18604651162790226,0.7070331950207472,0.1804979253112022,0.0,0.0,0.008694362017804018,0.0,0.0,0.009953560371517066,0.0,0.0,0.5813953488372093,0.0,0.0,0.5140041493775933,0.0,0.0
11,59,0.42355932203389857,0.13559322033897908,0.6761182994454717,0.17560073937153278,0.0,0.0,0.006703326180257788,0.0,0.0,0.009634409735026137,0.0,0.0,0.3177966101694915,0.0,0.0,0.4926062846580407,0.0,0.0
12,44,0.6134090909090912,0.13636363636363855,0.6714017094017097,0.1726495726495715,0.0,0.0,0.008546548448384964,0.0,0.0,0.009550870537885468,0.0,0.0,0.4034090909090909,0.0,0.0,0.4858974358974359,0.0,0.0
13,56,0.6651785714285718,0.17857142857143016,0.6708580343213731,0.17316692667706618,0.0,0.0,0.009620351239669197,0.0,0.0,0.009556849497733158,0.0,0.0,0.4732142857142857,0.0,0.0,0.48478939157566303,0.0,0.0
14,56,0.7339285714285718,0.24999999999999625,0.6759253945480634,0.17934002869440344,0.0,0.0,0.011793400286943577,0.0,0.0,0.009717621336193551,0.0,0.0,0.5357142857142857,0.0,0.0,0.4888809182209469,0.0,0.0
15,54,0.3318518518518519,-0.05555555555555416,0.6511850865512653,0.16245006657789518,0.0,0.0,0.004456602835115461,0.0,0.0,0.009314692773608602,0.0,0.0,0.3611111111111111,0.0,0.0,0.47969374167776296,0.0,0.0
16,62,0.4719354838709681,0.20967741935484122,0.6375153751537519,0.16605166051660447,0.0,0.0,0.007196261682243249,0.0,0.0,0.009162423985292035,0.0,0.0,0.3467741935483871,0.0,0.0,0.46955719557195574,0.0,0.0
17,53,0.6101886792452835,0.1509433962264068,0.6358429561200928,0.1651270207852182,0.0,0.0,0.00993548387096757,0.0,0.0,0.009204486568711019,0.0,0.0,0.35377358490566035,0.0,0.0,0.46247113163972287,0.0,0.0
18,41,0.8629268292682929,0.1951219512195133,0.646108048511577,0.1664829106945965,0.0,0.0,0.010123032904148411,0.0,0.0,0.009255188098171106,0.0,0.0,0.6219512195121951,0.0,0.0,0.4696802646085998,0.0,0.0
19,45,1.162666666666667,0.42222222222220507,0.670525210084034,0.17857142857142674,0.0,0.0,0.016546489563566708,0.0,0.0,0.009601985559566727,0.0,0.0,0.7611111111111111,0.0,0.0,0.4834558823529412,0.0,0.0
20,55,0.6061818181818185,0.10909090909090988,0.6670109235352536,0.17477656405163686,0.0,0.0,0.010170835875533971,0.0,0.0,0.009628716419622069,0.0,0.0,0.42272727272727273,0.0,0.0,0.4801390268123138,0.0,0.0
21,50,0.5234000000000001,-0.03999999999999945,0.6602175969725642,0.16461684011352729,0.0,0.0,0.006809784022898702,0.0,0.0,0.009481528783576257,0.0,0.0,0.465,0.0,0.0,0.47942289498580887,0.0,0.0
22,49,0.8077551020408169,0.22448979591835977,0.6667540687160944,0.16726943942133632,0.0,0.0,0.011654888103650948,0.0,0.0,0.009577386131927148,0.0,0.0,0.5612244897959183,0.0,0.0,0.48304701627486435,0.0,0.0
23,60,0.7331666666666672,0.19999999999998958,0.6701715265866213,0.16895368782161008,0.0,0.0,0.009777728384085246,0.0,0.0,0.009588446058702196,0.0,0.0,0.4875,0.0,0.0,0.4832761578044597,0.0,0.0
24,48,0.6768750000000004,0.12499999999999857,0.6704365733113677,0.16721581548599448,0.0,0.0,0.008572559366754336,0.0,0.0,0.009543301362474416,0.0,0.0,0.5052083333333334,0.0,0.0,0.48414332784184516,0.0,0.0
