Step,Fixed,NSIGA,XSIGA
500,0.6708926342072412,0.7472779962740632,0.7914104271228108
1000,0.6657383653132619,0.8268810716842211,0.9241000417713564
1500,0.6617891044160132,0.883174248578391,1.1983201069430574
2000,0.67721436680772,0.9163702653433252,1.2464867463621767
2500,0.6978731917513077,1.0191681957186534,1.3605288435310472
3000,0.6816579299002987,1.0316832588378704,1.4489743171125895
3500,0.6704253807106604,1.0249834387232752,1.4333427206409173
4000,0.6764449235191461,1.055711652672537,1.4544428449582787
4500,0.6570656964230807,1.058278587559022,1.4643686762611805
5000,0.6736054766734278,1.0780112531969304,1.4807798472488156
5500,0.6772422087429408,1.045104198434481,1.5235623617622966
6000,0.6977796223282836,1.0628709153643188,1.5036240219573924
6500,0.676378567029358,1.1149260534846024,1.5106856635182062
7000,0.6825857275254866,1.099124794069192,1.5088605342327113
7500,0.6711376564277591,1.1262931569154422,1.533101506554321
8000,0.6872315588205699,1.0847346439849228,1.5309556476039747
8500,0.6880053355222657,1.0825043407210693,1.5591751919778087
9000,0.6908027780614854,1.0877528659835645,1.5107524852594667
9500,0.6711475576317659,1.0879891969017523,1.5399828831232096
10000,0.684921155027647,1.1146941056910562,1.5506724104280587
