Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,99,0.10606060606060602,-0.14141414141414374,0.10606060606060602,-0.14141414141414374,0.0015177797051170552,0.0,0.0,0.0015177797051170552,0.0,0.0,0.1414141414141414,0.0,0.0,0.1414141414141414,0.0,0.0,0.3333333333333333,0.3333333333333333
3,55,0.5116363636363638,0.10909090909090237,0.2509090909090909,-0.051948051948055844,0.005215940685820352,0.0,0.0,0.0031381466742467783,0.0,0.0,0.38636363636363635,0.0,0.0,0.2288961038961039,0.0,0.0,0.3181818181818182,0.32575757575757575
4,55,0.5709090909090913,0.21818181818178795,0.3351196172248805,0.019138755980850415,0.006003824091778136,0.0,0.0,0.003992475631305947,0.0,0.0,0.3090909090909091,0.0,0.0,0.25,0.0,0.0,0.3,0.31717171717171716
5,44,0.02590909090909088,-0.3181818181818159,0.28134387351778667,-0.03952569169961329,2.8985507246373374E-4,0.0,0.0,0.003314397466939844,0.0,0.0,0.21022727272727273,0.0,0.0,0.24308300395256918,0.0,0.0,0.3181818181818182,0.3174242424242424
6,45,0.6293333333333335,0.35555555555555535,0.33389261744966453,0.020134228187912172,0.008527551942186226,0.0,0.0,0.004012582167197667,0.0,0.0,0.3055555555555556,0.0,0.0,0.2525167785234899,0.0,0.0,0.34444444444444444,0.3228282828282828
7,44,0.7802272727272733,0.2727272727272748,0.39131578947368434,0.05263157894736233,0.011649134713267768,0.0,0.0,0.004823745674740508,0.0,0.0,0.4147727272727273,0.0,0.0,0.2733918128654971,0.0,0.0,0.3409090909090909,0.3258417508417508
8,36,0.45499999999999996,-0.1111111111111137,0.3973809523809525,0.03703703703703128,0.005638554216867316,0.0,0.0,0.004900975562008555,0.0,0.0,0.4305555555555556,0.0,0.0,0.28835978835978837,0.0,0.0,0.2777777777777778,0.31897546897546897
9,50,-0.00860000000000003,-0.31999999999998,0.34995327102803747,-0.00467289719626443,-8.720340701681246E-5,0.0,0.0,0.004209668353007317,0.0,0.0,0.14,0.0,0.0,0.27102803738317754,0.0,0.0,0.36,0.3241035353535353
10,44,0.6604545454545456,0.1818181818181778,0.3788983050847458,0.012711864406776794,0.009135491983653128,0.0,0.0,0.004613916049637546,0.0,0.0,0.5,0.0,0.0,0.2923728813559322,0.0,0.0,0.32954545454545453,0.3247081930415263
11,55,0.35418181818181826,0.14545454545454564,0.3763187855787477,0.026565464895633124,0.004824170381377016,0.0,0.0,0.0046337531250730465,0.0,0.0,0.1318181818181818,0.0,0.0,0.27561669829222013,0.0,0.0,0.3181818181818182,0.32405555555555554
12,56,0.37071428571428594,0.392857142857134,0.37578044596912535,0.061749571183530305,0.00454167578210453,0.0,0.0,0.004624868059953581,0.0,0.0,0.026785714285714284,0.0,0.0,0.25171526586620924,0.0,0.0,0.45535714285714285,0.33599206349206345
13,43,0.31302325581395346,0.09302325581395227,0.37146964856230047,0.06389776357827175,0.002776975448731158,0.0,0.0,0.004453338950916388,0.0,0.0,0.20348837209302326,0.0,0.0,0.24840255591054314,0.0,0.0,0.313953488372093,0.33415551556539924
14,65,-0.04261538461538464,-0.16923076923077135,0.33251808972503627,0.0419681620839334,-4.5815415150515077E-4,0.0,0.0,0.003943669224035853,0.0,0.0,0.07692307692307693,0.0,0.0,0.23227206946454415,0.0,0.0,0.36923076923076925,0.33685361200119696
15,45,0.44400000000000006,0.13333333333333316,0.33933423913043487,0.0475543478260842,0.004807507218479315,0.0,0.0,0.004001185536455261,0.0,0.0,0.19444444444444445,0.0,0.0,0.22995923913043478,0.0,0.0,0.28888888888888886,0.3334275603503178
16,47,0.5542553191489364,0.08510638297872633,0.35223499361430405,0.04980842911877152,0.006630185797912778,0.0,0.0,0.004156869837824806,0.0,0.0,0.39361702127659576,0.0,0.0,0.23978288633461048,0.0,0.0,0.3723404255319149,0.3360217513624243
17,49,0.20693877551020406,0.08163265306122619,0.3436778846153847,0.05168269230769013,0.0021519524617996597,0.0,0.0,0.00402392344497608,0.0,0.0,0.07653061224489796,0.0,0.0,0.23016826923076922,0.0,0.0,0.4387755102040816,0.34244386129002785
18,42,0.31880952380952376,7.500200857205438E-16,0.34248283752860414,0.04919908466819018,0.0042480964467005375,0.0,0.0,0.004033444725920341,0.0,0.0,0.25,0.0,0.0,0.2311212814645309,0.0,0.0,0.36904761904761907,0.344008788216945
19,48,0.6683333333333336,2.768618667658984E-15,0.3594468546637745,0.04663774403470537,0.010142269996838642,0.0,0.0,0.004283166397415198,0.0,0.0,0.4791666666666667,0.0,0.0,0.2440347071583514,0.0,0.0,0.375,0.34573052220489253
20,43,0.31325581395348834,-0.09302325581394935,0.35738860103626957,0.0404145077720192,0.003433596737190871,0.0,0.0,0.0042421707791089665,0.0,0.0,0.2616279069767442,0.0,0.0,0.24481865284974094,0.0,0.0,0.4069767441860465,0.34895400757232165
21,48,0.5516666666666669,0.12500000000000466,0.3665942744323792,0.04442250740375,0.006431867864950151,0.0,0.0,0.004347714101738577,0.0,0.0,0.359375,0.0,0.0,0.2502467917077986,0.0,0.0,0.34375,0.3486938071937056
