Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,97,0.5818556701030931,0.061855670103091585,0.5818556701030931,0.061855670103091585,0.006458404851813844,0.0,0.0,0.006458404851813844,0.0,0.0,0.4845360824742268,0.0,0.0,0.4845360824742268,0.0,0.0,0.0,0.0
3,47,0.593617021276596,0.042553191489358815,0.5856944444444447,0.055555555555553804,0.008563535911602218,0.0,0.0,0.007030090856047446,0.0,0.0,0.4787234042553192,0.0,0.0,0.4826388888888889,0.0,0.0,0.0,0.0
4,54,0.5912962962962967,0.14814814814814736,0.5872222222222225,0.08080808080807932,0.010927446954140716,0.0,0.0,0.0077934177893960975,0.0,0.0,0.42592592592592593,0.0,0.0,0.4671717171717172,0.0,0.0,0.0,0.0
5,49,0.8604081632653067,0.36734693877549796,0.6414170040485834,0.13765182186234456,0.011604734379300822,0.0,0.0,0.008539780077619678,0.0,0.0,0.4336734693877551,0.0,0.0,0.4605263157894737,0.0,0.0,0.0,0.0
6,56,0.5564285714285717,-2.972324767266546E-15,0.6257095709570961,0.11221122112210871,0.008030927835050997,0.0,0.0,0.008451765335235294,0.0,0.0,0.5044642857142857,0.0,0.0,0.46864686468646866,0.0,0.0,0.0,0.0
7,46,0.5084782608695654,-0.043478260869566444,0.6102578796561609,0.09169054441260426,0.005084782608695515,0.0,0.0,0.007878810298904908,0.0,0.0,0.5760869565217391,0.0,0.0,0.4828080229226361,0.0,0.0,0.0,0.0
8,50,0.5750000000000003,-0.07999999999999058,0.6058395989974941,0.07017543859648961,0.008096310898338425,0.0,0.0,0.007904064349475107,0.0,0.0,0.56,0.0,0.0,0.4924812030075188,0.0,0.0,0.0,0.0
9,41,0.8104878048780493,0.04878048780487537,0.6249090909090913,0.06818181818181647,0.012149908592321686,0.0,0.0,0.008252596194249265,0.0,0.0,0.6463414634146342,0.0,0.0,0.5068181818181818,0.0,0.0,0.0,0.0
10,45,0.6184444444444449,0.08888888888889306,0.6243092783505159,0.07010309278350398,0.010431034482759075,0.0,0.0,0.008414105485466523,0.0,0.0,0.48333333333333334,0.0,0.0,0.5046391752577319,0.0,0.0,0.0,0.0
11,38,0.5192105263157898,0.10526315789473321,0.6166730401529641,0.07265774378584952,0.010461293743372286,0.0,0.0,0.008516054076890536,0.0,0.0,0.3815789473684211,0.0,0.0,0.49569789674952197,0.0,0.0,0.0,0.0
12,55,0.5561818181818184,0.1090909090909113,0.6109169550173015,0.07612456747404743,0.007789661319072839,0.0,0.0,0.008447809756214203,0.0,0.0,0.4636363636363636,0.0,0.0,0.49264705882352944,0.0,0.0,0.0,0.0
13,51,0.7466666666666671,0.35294117647056594,0.621923688394277,0.09856915739268407,0.009852522639068844,0.0,0.0,0.008566704625087565,0.0,0.0,0.43137254901960786,0.0,0.0,0.48767885532591415,0.0,0.0,0.0,0.0
