Step,#Calls,Payoff Per Call,Happiness Per Call,Avg Payoff in Window,Avg Happiness in Window,Expected Payoff for perfect agents,Expected Payoff for selfish agents,Expected Payoff for generous agents,Avg Expected Payoff for perfect agents in Window,Avg Expected Payoff for selfish agents in Window,Avg Expected Payoff for generous agents in Window,Expected Callee Payoff for perfect agents,Expected Callee Payoff for selfish agents,Expected Callee Payoff for generous agents,Avg Expected Callee Payoff for perfect agents in Window,Avg Expected Callee Payoff for selfish agents in Window,Avg Expected Callee Payoff for generous agents in Window,Avg privacy score,Avg privacy score in Window
2,89,0.29674157303370813,-0.03370786516853905,0.29674157303370813,-0.03370786516853905,0.007928629648433612,0.004248213548019567,0.003433533490410251,0.007928629648433612,0.004248213548019567,0.003433533490410251,0.2625,0.21153846153846154,0.16304347826086957,0.2625,0.21153846153846154,0.16304347826086957,0.0,0.0
3,44,0.503636363636364,0.24999999999999734,0.3651879699248123,0.06015037593984893,0.0070626861515347816,0.010238023253279565,0.0015701830703010854,0.007549765922212782,0.006804074757332079,0.002610170798484812,0.3125,0.19444444444444445,0.22727272727272727,0.28125,0.20714285714285716,0.18382352941176472,0.0,0.0
4,55,0.42145454545454597,-0.036363636363637104,0.38164893617021306,0.031914893617020566,0.005904911667066115,0.011629619783910375,0.005402375927732273,0.007075652317281028,0.00821978219576219,0.0034130924598890656,0.15,0.4583333333333333,0.5576923076923077,0.2393617021276596,0.2712765957446808,0.2872340425531915,0.0,0.0
5,49,0.4044897959183675,0.08163265306122373,0.3863713080168779,0.0421940928270035,0.006032408978553695,0.013486302191074976,0.004577755258554378,0.006873878252623452,0.009221651637650631,0.0036392275077662944,0.13636363636363635,0.2976190476190476,0.5,0.21982758620689655,0.27941176470588236,0.3113207547169811,0.0,0.0
6,49,0.103469387755102,-0.40816326530612274,0.3379020979020981,-0.03496503496503561,0.004381389257605091,-0.002540311383099523,-0.0012163812776759286,0.006323253947467712,0.006552192684353931,0.0025969298197634936,0.5104166666666666,0.07692307692307693,0.0625,0.26964285714285713,0.24691358024691357,0.2653846153846154,0.0,0.0
7,44,0.22636363636363635,-0.04545454545454515,0.32303030303030317,-0.03636363636363688,0.003230414247006094,8.558830359964304E-4,0.003201900184906048,0.005786196107837508,0.005609780419376347,0.0027064338405122113,0.11956521739130435,0.6136363636363636,-0.025,0.24846625766871167,0.2907608695652174,0.22666666666666666,0.0,0.0
8,53,0.33792452830188713,0.09433962264150811,0.32509138381201064,-0.018276762402089402,0.0038969553662938834,0.005536694716861599,0.004027290584744908,0.005478219809873168,0.005598261865153899,0.002924493045456135,0.23958333333333334,0.19230769230769232,0.203125,0.24732620320855614,0.2785714285714286,0.22252747252747251,0.0,0.0
9,40,0.40150000000000025,0.20000000000000173,0.33231678486997657,0.0023640661938530228,0.004020964455695284,0.004220413128499651,0.013127448042107371,0.005346584913865489,0.0054717434464843315,0.0038303965853821887,0.03571428571428571,0.125,0.5384615384615384,0.22596153846153846,0.2702702702702703,0.2620192307692308,0.0,0.0
10,28,0.03678571428571426,-0.21428571428571494,0.31396895787139706,-0.011086474501109068,-8.943613898192709E-4,-0.004016988766585828,0.00704714204768052,0.004826239416487004,0.004703258000229431,0.004101512755236696,0.28846153846153844,-0.1590909090909091,0.75,0.22963800904977374,0.23155737704918034,0.2800925925925926,0.0,0.0
11,39,0.5484615384615387,0.28205128205128055,0.3326326530612247,0.012244897959183166,0.009640636250506438,0.005152228497765546,0.007770693923990391,0.0052093351121805225,0.004738921781307169,0.00438954916767286,0.2625,0.08333333333333333,0.28846153846153844,0.23236514522821577,0.224609375,0.2809917355371901,0.0,0.0
12,45,0.25888888888888884,-0.1333333333333356,0.3264299065420563,-6.557578986571018E-16,0.005438666569053916,0.0031351754817170708,-5.024130086764917E-5,0.0052302247832735895,0.004596017313864205,0.003986895139499735,0.23684210526315788,0.16071428571428573,0.4166666666666667,0.2326923076923077,0.21830985915492956,0.2932330827067669,0.0,0.0
